Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-6.3,2.1,5.6,18982,475,1031,53,5.1,0.69,814675|814689|815211|815962|817874|818594|819069|819551|819959|820132|821081|821415|821856|823749|823935|824294|824529|826411|827368|827512|828005|828060|828445|828587|828972|829362|829815|831021|831112|831171|831197|831488|831817|833946|833947|834200|834706|835046|835217|835918|836733|837791|837958|838077|838666|838792|839419|839520|840065|841164|841472|843677|844020,STL2P|AT2G01600|VPS2.1|VSR3|SAR1|CLC2|RAB6A|AT3G03940|p24beta2|SYP71|TPLATE|RAB7B|AT3G22845|RABE1c|MAG1|VPS35C|RAB8|AT4G08520|SAR2|AGD8|SETH5|SEC15B|AT4G23460|AT4G24840|CKL6|AT4G32285|EMB2754|AT5G11490|SEC10|SFC|KEG|AT5G16280|RAB8C|GNL1|SGR4|AT5G41950|AT5G46630|EXO84B|EYE|YKT61|ATGRIP|KEU|GN|AT1G15130|AT1G20760|p24delta5|VAMP721|CKL13|AT1G31780|SEC3A|HIT1|AT1G73430|SEC5A,-2.5,WS_c1_which_mclass____5___1_
KEGG Pathway,24,ath00190,Oxidative phosphorylation,,-5.5,2.9,5.6,18982,144,1031,23,2.2,0.46,814736|816150|819382|821104|821130|821370|822503|824439|828221|828778|829069|829388|829622|831998|834065|834840|835841|836895|838075|838239|842725|843898|844363,AT2G02050|AT2G16510|AT2G47690|AT3G03100|VMA10|AT3G18410|AT3G28715|AT3G52730|AT4G02620|AT4G26710|AT4G29480|AT4G32530|CIB22|AT5G18800|SDH2-2|AT5G47890|HA3|FRO1|AT1G15120|AT1G16700|VHA-E3|AVA-P4|AT1G80230,-2.2,WS_c1_which_mclass____5___1_
KEGG Pathway,24,ko00190,Oxidative phosphorylation,,-5.5,2.9,5.6,18982,144,1031,23,2.2,0.46,814736|816150|819382|821104|821130|821370|822503|824439|828221|828778|829069|829388|829622|831998|834065|834840|835841|836895|838075|838239|842725|843898|844363,AT2G02050|AT2G16510|AT2G47690|AT3G03100|VMA10|AT3G18410|AT3G28715|AT3G52730|AT4G02620|AT4G26710|AT4G29480|AT4G32530|CIB22|AT5G18800|SDH2-2|AT5G47890|HA3|FRO1|AT1G15120|AT1G16700|VHA-E3|AVA-P4|AT1G80230,-2.2,WS_c1_which_mclass____5___1_
GO Biological Processes,19,GO:0009853,photorespiration,19_GO:0008152 metabolic process,-4.6,4.4,5.5,18982,46,1031,11,1.1,0.32,814736|817319|819382|821370|824578|827343|828026|829622|829949|836470|838940,AT2G02050|AT2G27730|AT2G47690|AT3G18410|PUMP1|AT4G16450|AT4G00585|CIB22|SHM1|GAMMA CAL1|GGT1,-1.5,WS_c1_which_mclass____5___1_
GO Biological Processes,19,GO:0048364,root development,19_GO:0032501 multicellular organismal process,-4.5,1.8,4.5,18982,558,1031,54,5.2,0.69,814953|816281|816533|816815|816961|817685|817946|818137|818302|818859|819804|819924|819969|819979|820940|821610|822175|824309|824484|824568|826983|828083|828542|828776|829597|831094|831748|831809|832174|832196|832658|834200|834750|834868|835177|835689|835690|835702|835985|836187|837346|837550|837637|837890|837958|838916|839389|841123|841367|841584|843797|844105|844160|844399,AIR3|P4H5|RPT2b|GRF1|LRL1|CPUORF7|AGP30|AT2G35680|ADK|GRF9|P4H2|PUB9|OBE1|SCN1|RR1|UBP14|TPS-CIN|RHD4|NodGS|PAS1|AMT1;1|RHS13|CIPK8|SHV3|AGB1|RGTB1|CTR1|EXO70A1|WAV2|NPH4|IAA28|AT5G41950|LON2|OBE2|SDHAF2|D6PK|OLI2|AT5G56040|ROC7|PIP2;4|TIL1|ECA3|SNRK2.4|HRS1|GN|PIN7|RALF1|WPP2|LACS2|MNS1|NRP1|LAX3|TSD2|WIN1,-1.5,WS_c1_which_mclass____5___1_
GO Biological Processes,19,GO:0022622,root system development,19_GO:0032501 multicellular organismal process,-4.5,1.8,4.5,18982,559,1031,54,5.2,0.69,814953|816281|816533|816815|816961|817685|817946|818137|818302|818859|819804|819924|819969|819979|820940|821610|822175|824309|824484|824568|826983|828083|828542|828776|829597|831094|831748|831809|832174|832196|832658|834200|834750|834868|835177|835689|835690|835702|835985|836187|837346|837550|837637|837890|837958|838916|839389|841123|841367|841584|843797|844105|844160|844399,AIR3|P4H5|RPT2b|GRF1|LRL1|CPUORF7|AGP30|AT2G35680|ADK|GRF9|P4H2|PUB9|OBE1|SCN1|RR1|UBP14|TPS-CIN|RHD4|NodGS|PAS1|AMT1;1|RHS13|CIPK8|SHV3|AGB1|RGTB1|CTR1|EXO70A1|WAV2|NPH4|IAA28|AT5G41950|LON2|OBE2|SDHAF2|D6PK|OLI2|AT5G56040|ROC7|PIP2;4|TIL1|ECA3|SNRK2.4|HRS1|GN|PIN7|RALF1|WPP2|LACS2|MNS1|NRP1|LAX3|TSD2|WIN1,-1.5,WS_c1_which_mclass____5___1_
GO Biological Processes,19,GO:0010038,response to metal ion,19_GO:0050896 response to stimulus,-4.4,1.9,4.4,18982,444,1031,45,4.4,0.64,816664|817365|817813|818736|819110|819293|819778|820499|822112|822171|823492|823555|823557|824930|826765|826791|827039|829390|829697|829949|830052|830120|830621|831330|831935|832546|834283|835437|836099|836543|837296|838217|839503|840543|840895|841263|841557|841822|842337|842365|842763|843410|843797|844001|844087,AT2G21250|CSD2|AT2G32520|AT2G41380|AT2G45030|ZAT|PRXIIF|SERAT2;2|AT3G25190|PP2AA2|CAM7|NIT2|NIT3|ADSS|GPX6|PLDGAMMA1|SBP1|LUG|AKR2|SHM1|FBA2|AGT2|BON2|FDH|GDH1|VSP2|AT5G42740|YSL3|MYB59|AT5G64220|ECA1|PAB1|MAC3A|SHM7|GAPB|D-CDES|AT1G51340|PAE1|AT1G60420|ATB2|ABCF3|PGM2|NRP1|OPR1|PDIL1-2,-1.4,WS_c1_which_mclass____5___1_
GO Biological Processes,19,GO:0048193,Golgi vesicle transport,19_GO:0051179 localization,-4.3,2.5,4.7,18982,160,1031,22,2.1,0.45,814675|815962|819069|819959|821856|826411|827368|827512|828060|828587|831488|833946|833947|835046|835217|836733|837958|838792|840065|841472|843677|844020,STL2P|VSR3|RAB6A|p24beta2|AT3G22845|AT4G08520|SAR2|AGD8|SEC15B|AT4G24840|AT5G16280|GNL1|SGR4|EXO84B|EYE|ATGRIP|GN|p24delta5|AT1G31780|HIT1|AT1G73430|SEC5A,-1.4,WS_c1_which_mclass____5___1_
GO Biological Processes,19,GO:0017144,drug metabolic process,19_GO:0008152 metabolic process,-3.6,1.6,3.8,18982,650,1031,57,5.5,0.71,816390|816757|816758|816781|816893|817170|818105|818447|819130|819261|819778|820139|820196|820335|821672|822241|822402|824439|824930|825044|827122|827124|829043|829069|829387|829622|829668|829949|830052|830377|831093|831330|831998|832004|832545|834065|834283|834829|835392|836163|836558|837369|838075|838239|838580|838850|838940|839030|840543|841762|841793|841821|842710|844160|844282|844363|844376,AT2G18750|MIPS2|AAT|PFK5|MES3|GP ALPHA 1|AT2G35380|GAUT7|AT2G45220|SDH4|PRXIIF|IDH-VI|PAL4|AT3G11630|MSR1|AT3G26370|MDAR4|AT3G52730|ADSS|CSY2|ATARD2|ARD1|PFK1|AT4G29480|SHM3|CIB22|AT4G35160|SHM1|FBA2|NAS1|PYD2|FDH|AT5G18800|NSH3|AT5G24760|SDH2-2|AT5G42740|GAUT4|SPDS3|SIZ1|BETA-UP|SDH6|AT1G15120|AT1G16700|APS2|AT1G22440|GGT1|LGT9|SHM7|DJ1B|GLY3|PME1|RBOH F|TSD2|ALDH5F1|AT1G80230|AT1G80360,-0.77,WS_c1_which_mclass____5___1_
GO Biological Processes,19,GO:0060321,acceptance of pollen,19_GO:0051704 multi-organism process,-3.6,7.7,5.5,18982,12,1031,5,0.48,0.22,828060|831112|835046|841164|844020,SEC15B|SEC10|EXO84B|SEC3A|SEC5A,-0.77,WS_c1_which_mclass____5___1_
