"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
4.48683619564015e-26,193,1302,"Organic acid metabolic process ","AT1G03410 AT1G06570 AT1G09430 AT1G09620 AT1G11860 AT1G14610 AT1G18640 AT1G19400 AT1G25220 AT1G29900 AT1G37130 AT1G48850 AT1G50200 AT1G50480 AT1G72550 AT1G75330 AT1G78670 AT2G05710 AT2G13360 AT2G13560 AT2G14170 AT2G17720 AT2G18750 AT2G26080 AT2G26400 AT2G27450 AT2G30200 AT2G31810 AT2G34770 AT2G36580 AT2G40660 AT2G43710 AT2G43750 AT2G44350 AT3G06300 AT3G06350 AT3G11710 AT3G12290 AT3G23940 AT3G27740 AT3G30775 AT3G52990 AT3G53580 AT3G54640 AT3G55360 AT3G57050 AT3G58750 AT3G59760 AT3G63250 AT4G10320 AT4G14710 AT4G16760 AT4G24620 AT4G24830 AT4G26870 AT4G26970 AT4G29130 AT4G31810 AT4G37410 AT5G03860 AT5G08100 AT5G08300 AT5G08570 AT5G11880 AT5G13280 AT5G17380 AT5G18900 AT5G22630 AT5G26710 AT5G26780 AT5G26830 AT5G27520 AT5G28020 AT5G38830 AT5G51040 AT5G51880 AT5G65110 AT1G74100 AT1G76690 AT1G80360 AT2G46370 AT3G01420 AT3G29360 AT3G45300 AT3G48560 AT3G51840 AT4G30530 AT4G33150 AT4G39950 AT4G39980 AT5G07010 AT5G15490 AT1G08510 AT1G12110 AT1G13280 AT1G13930 AT1G17290 AT1G20950 AT1G30120 AT1G31860 AT1G53310 AT1G59900 AT1G62180 AT1G63660 AT1G64190 AT1G67730 AT1G69850 AT1G74030 AT1G76150 AT1G80460 AT2G03440 AT2G17130 AT2G22780 AT2G26230 AT2G30970 AT2G34590 AT2G38040 AT2G39800 AT2G43360 AT3G01910 AT3G02360 AT3G03780 AT3G06850 AT3G07270 AT3G10850 AT3G12800 AT3G13110 AT3G13930 AT3G14440 AT3G14940 AT3G17810 AT3G25780 AT3G25860 AT3G45700 AT3G47833 AT3G49680 AT4G13780 AT4G21990 AT4G22300 AT4G23590 AT4G29840 AT4G30550 AT4G30950 AT4G31990 AT4G33680 AT4G34350 AT4G35260 AT4G38220 AT5G03290 AT5G09600 AT5G10160 AT5G10480 AT5G11520 AT5G16370 AT5G18170 AT5G20960 AT5G21170 AT5G35630 AT5G36880 AT5G38200 AT5G41670 AT5G55070 AT5G56680 AT5G56760 AT5G58220 AT5G59770 AT5G62575 ATCG00500 AT1G08110 AT1G27130 AT1G52670 AT1G59870 AT1G66140 AT1G74910 AT1G76790 AT2G41010 AT3G07560 AT3G19260 AT4G00830 AT4G20380 AT5G07350 AT5G13330 AT5G17460 AT5G40770 AT5G47120 AT5G47435 AT5G49450 AT5G60620 AT5G61780 AT5G67490 AT1G69040 AT3G16950 AT3G44320"
4.48683619564015e-26,176,1133,"Carboxylic acid metabolic process ","AT1G06570 AT1G09430 AT1G09620 AT1G11860 AT1G14610 AT1G18640 AT1G19400 AT1G25220 AT1G29900 AT1G48850 AT1G50200 AT1G50480 AT1G72550 AT1G75330 AT1G78670 AT2G05710 AT2G13360 AT2G13560 AT2G14170 AT2G17720 AT2G18750 AT2G26080 AT2G26400 AT2G27450 AT2G30200 AT2G31810 AT2G34770 AT2G36580 AT2G40660 AT2G43710 AT2G43750 AT2G44350 AT3G06300 AT3G06350 AT3G11710 AT3G12290 AT3G23940 AT3G27740 AT3G30775 AT3G52990 AT3G53580 AT3G54640 AT3G55360 AT3G57050 AT3G58750 AT3G59760 AT3G63250 AT4G10320 AT4G14710 AT4G16760 AT4G24620 AT4G24830 AT4G26870 AT4G26970 AT4G29130 AT4G31810 AT5G03860 AT5G08100 AT5G08300 AT5G08570 AT5G11880 AT5G13280 AT5G17380 AT5G18900 AT5G22630 AT5G26710 AT5G26780 AT5G26830 AT5G27520 AT5G28020 AT5G38830 AT5G51040 AT5G51880 AT5G65110 AT1G76690 AT1G80360 AT2G46370 AT3G01420 AT3G29360 AT3G45300 AT3G48560 AT3G51840 AT4G33150 AT4G39950 AT4G39980 AT5G07010 AT5G15490 AT1G08510 AT1G13280 AT1G13930 AT1G17290 AT1G20950 AT1G30120 AT1G31860 AT1G53310 AT1G59900 AT1G62180 AT1G63660 AT1G64190 AT1G67730 AT1G74030 AT1G76150 AT1G80460 AT2G03440 AT2G17130 AT2G22780 AT2G30970 AT2G34590 AT2G38040 AT2G39800 AT2G43360 AT3G02360 AT3G03780 AT3G06850 AT3G07270 AT3G10850 AT3G12800 AT3G13110 AT3G13930 AT3G14440 AT3G14940 AT3G17810 AT3G25780 AT3G25860 AT3G47833 AT3G49680 AT4G13780 AT4G21990 AT4G22300 AT4G23590 AT4G29840 AT4G30530 AT4G30550 AT4G30950 AT4G31990 AT4G33680 AT4G34350 AT4G35260 AT4G38220 AT5G03290 AT5G09600 AT5G10160 AT5G10480 AT5G11520 AT5G16370 AT5G18170 AT5G20960 AT5G21170 AT5G35630 AT5G36880 AT5G38200 AT5G41670 AT5G55070 AT5G56680 AT5G56760 AT5G59770 AT5G62575 ATCG00500 AT1G08110 AT1G52670 AT1G74910 AT2G41010 AT3G07560 AT3G19260 AT4G20380 AT5G07350 AT5G17460 AT5G40770 AT5G47120 AT5G47435 AT5G49450 AT5G60620 AT5G61780 AT5G67490 AT1G69040 AT3G16950"
1.29624600725309e-25,191,1299,"Oxoacid metabolic process ","AT1G03410 AT1G06570 AT1G09430 AT1G09620 AT1G11860 AT1G14610 AT1G18640 AT1G19400 AT1G25220 AT1G29900 AT1G37130 AT1G48850 AT1G50200 AT1G50480 AT1G72550 AT1G75330 AT1G78670 AT2G05710 AT2G13360 AT2G13560 AT2G14170 AT2G17720 AT2G18750 AT2G26080 AT2G26400 AT2G27450 AT2G30200 AT2G31810 AT2G34770 AT2G36580 AT2G40660 AT2G43710 AT2G43750 AT2G44350 AT3G06300 AT3G06350 AT3G11710 AT3G12290 AT3G23940 AT3G27740 AT3G30775 AT3G52990 AT3G53580 AT3G54640 AT3G55360 AT3G57050 AT3G58750 AT3G59760 AT3G63250 AT4G10320 AT4G14710 AT4G16760 AT4G24620 AT4G24830 AT4G26870 AT4G26970 AT4G29130 AT4G31810 AT4G37410 AT5G03860 AT5G08100 AT5G08300 AT5G08570 AT5G11880 AT5G13280 AT5G17380 AT5G18900 AT5G22630 AT5G26710 AT5G26780 AT5G26830 AT5G27520 AT5G28020 AT5G38830 AT5G51040 AT5G51880 AT5G65110 AT1G74100 AT1G76690 AT1G80360 AT2G46370 AT3G01420 AT3G29360 AT3G45300 AT3G48560 AT3G51840 AT4G30530 AT4G33150 AT4G39950 AT4G39980 AT5G07010 AT5G15490 AT1G08510 AT1G12110 AT1G13280 AT1G13930 AT1G17290 AT1G20950 AT1G30120 AT1G31860 AT1G53310 AT1G59900 AT1G62180 AT1G63660 AT1G64190 AT1G67730 AT1G69850 AT1G74030 AT1G76150 AT1G80460 AT2G03440 AT2G17130 AT2G22780 AT2G30970 AT2G34590 AT2G38040 AT2G39800 AT2G43360 AT3G01910 AT3G02360 AT3G03780 AT3G06850 AT3G07270 AT3G10850 AT3G12800 AT3G13110 AT3G13930 AT3G14440 AT3G14940 AT3G17810 AT3G25780 AT3G25860 AT3G45700 AT3G47833 AT3G49680 AT4G13780 AT4G21990 AT4G22300 AT4G23590 AT4G29840 AT4G30550 AT4G30950 AT4G31990 AT4G33680 AT4G34350 AT4G35260 AT4G38220 AT5G03290 AT5G09600 AT5G10160 AT5G10480 AT5G11520 AT5G16370 AT5G18170 AT5G20960 AT5G21170 AT5G35630 AT5G36880 AT5G38200 AT5G41670 AT5G55070 AT5G56680 AT5G56760 AT5G59770 AT5G62575 ATCG00500 AT1G08110 AT1G27130 AT1G52670 AT1G59870 AT1G66140 AT1G74910 AT1G76790 AT2G41010 AT3G07560 AT3G19260 AT4G00830 AT4G20380 AT5G07350 AT5G13330 AT5G17460 AT5G40770 AT5G47120 AT5G47435 AT5G49450 AT5G60620 AT5G61780 AT5G67490 AT1G69040 AT3G16950 AT3G44320"
9.9459976637718e-25,250,1963,"Small molecule metabolic process ","AT1G03410 AT1G06570 AT1G09430 AT1G09620 AT1G10030 AT1G11860 AT1G14610 AT1G16350 AT1G18640 AT1G19400 AT1G22440 AT1G23190 AT1G25220 AT1G29900 AT1G30110 AT1G37130 AT1G48850 AT1G50200 AT1G50480 AT1G52710 AT1G63000 AT1G63180 AT1G63660 AT1G72550 AT1G74340 AT1G75330 AT1G78670 AT1G80460 AT2G05710 AT2G07671 AT2G07698 AT2G13360 AT2G13560 AT2G14170 AT2G17720 AT2G18750 AT2G26080 AT2G26400 AT2G27450 AT2G28760 AT2G30200 AT2G31810 AT2G34770 AT2G36580 AT2G38700 AT2G40660 AT2G42910 AT2G43710 AT2G43750 AT2G43760 AT2G44050 AT2G44350 AT2G45290 AT2G47650 AT3G03250 AT3G06300 AT3G06350 AT3G07270 AT3G11710 AT3G12290 AT3G17810 AT3G17940 AT3G23940 AT3G27740 AT3G30775 AT3G47220 AT3G47800 AT3G51160 AT3G52990 AT3G53580 AT3G54640 AT3G55360 AT3G57050 AT3G57610 AT3G58750 AT3G59480 AT3G59760 AT3G62830 AT3G63250 AT4G10320 AT4G11820 AT4G13720 AT4G14710 AT4G16760 AT4G22930 AT4G24620 AT4G24830 AT4G26870 AT4G26970 AT4G29130 AT4G31810 AT4G37410 AT4G39800 AT5G03860 AT5G08100 AT5G08300 AT5G08570 AT5G09600 AT5G11880 AT5G13280 AT5G16510 AT5G17380 AT5G18900 AT5G22630 AT5G24760 AT5G26710 AT5G26780 AT5G26830 AT5G27450 AT5G27520 AT5G28020 AT5G38830 AT5G51040 AT5G51880 AT5G57440 AT5G58220 AT5G65110 AT5G66280 AT1G53000 AT1G74100 AT1G76690 AT1G78570 AT1G80360 AT2G46370 AT3G01420 AT3G29360 AT3G45300 AT3G48560 AT3G51840 AT4G30530 AT4G33150 AT4G33360 AT4G39080 AT4G39950 AT4G39980 AT5G07010 AT5G15490 AT5G23670 AT5G40760 AT1G08510 AT1G12110 AT1G13280 AT1G13930 AT1G17290 AT1G17890 AT1G20260 AT1G20950 AT1G30120 AT1G31860 AT1G53310 AT1G59900 AT1G62180 AT1G64190 AT1G67730 AT1G69850 AT1G74030 AT1G76030 AT1G76150 AT2G03440 AT2G15570 AT2G17130 AT2G22780 AT2G26230 AT2G30970 AT2G34590 AT2G38040 AT2G39800 AT2G43360 AT2G44500 AT3G01910 AT3G02360 AT3G03780 AT3G06310 AT3G06850 AT3G10740 AT3G10850 AT3G12800 AT3G13110 AT3G13930 AT3G14440 AT3G14940 AT3G25780 AT3G25860 AT3G45700 AT3G47833 AT3G49680 AT3G51520 AT3G54470 AT3G57550 AT3G57650 AT4G13780 AT4G17190 AT4G21990 AT4G22300 AT4G23590 AT4G24340 AT4G29840 AT4G30550 AT4G30950 AT4G31990 AT4G33680 AT4G34350 AT4G35260 AT4G38220 AT5G03290 AT5G10160 AT5G10480 AT5G11520 AT5G16370 AT5G18170 AT5G20960 AT5G21170 AT5G35630 AT5G36880 AT5G38200 AT5G41670 AT5G47435 AT5G55070 AT5G56680 AT5G56760 AT5G59770 AT5G62575 ATCG00500 ATMG01190 AT1G08110 AT1G27130 AT1G52670 AT1G59870 AT1G66140 AT1G74910 AT1G76790 AT2G41010 AT3G07560 AT3G19260 AT4G00830 AT4G20380 AT5G07350 AT5G13330 AT5G17460 AT5G40770 AT5G47120 AT5G49450 AT5G60620 AT5G61780 AT5G67490 AT1G69040 AT3G06650 AT3G16950 AT3G44320 AT5G49460"
6.8589905239178e-23,348,3194,"Response to chemical ","AT1G08650 AT1G12010 AT1G12110 AT1G14685 AT1G19310 AT1G20450 AT1G20950 AT1G22440 AT1G50670 AT1G67030 AT1G77370 AT2G01570 AT2G07698 AT2G16850 AT2G18030 AT2G23780 AT2G24150 AT2G36580 AT2G37180 AT2G40140 AT2G47160 AT3G01340 AT3G03170 AT3G06050 AT3G21510 AT3G23560 AT3G27740 AT3G29350 AT3G52990 AT4G00430 AT4G00710 AT4G08390 AT4G17870 AT4G24280 AT4G24570 AT4G26080 AT4G28270 AT4G28910 AT4G35000 AT5G07460 AT5G08570 AT5G12480 AT5G20900 AT5G24760 AT5G26780 AT5G27520 AT5G35080 AT5G39340 AT5G53160 AT5G56550 AT5G57090 AT5G58070 AT5G59820 AT5G63030 AT1G08930 AT1G11910 AT1G13930 AT1G16350 AT1G16880 AT1G19870 AT1G50480 AT1G59610 AT1G59870 AT1G74030 AT2G14835 AT2G25070 AT2G36910 AT2G43750 AT2G43790 AT2G45200 AT2G46540 AT3G05000 AT3G22850 AT3G25230 AT3G27890 AT3G45640 AT3G50500 AT3G54640 AT4G00830 AT4G10380 AT4G19030 AT4G31550 AT4G33680 AT5G16840 AT5G35630 AT5G46750 AT5G50920 AT5G53400 AT5G57330 AT5G60980 AT5G67300 AT1G01470 AT1G02920 AT1G04250 AT1G05250 AT1G15100 AT1G17180 AT1G17190 AT1G19350 AT1G19770 AT1G25490 AT1G27130 AT1G32640 AT1G36060 AT1G37130 AT1G49860 AT1G50640 AT1G53910 AT1G62660 AT1G66140 AT1G68840 AT1G72430 AT1G74500 AT1G74930 AT2G01540 AT2G03440 AT2G03510 AT2G14900 AT2G17500 AT2G21050 AT2G22430 AT2G25080 AT2G25490 AT2G31570 AT2G33740 AT2G38120 AT2G41010 AT2G41070 AT2G43350 AT2G46140 AT2G46370 AT2G46690 AT3G01420 AT3G02260 AT3G09270 AT3G14230 AT3G15210 AT3G23030 AT3G26810 AT3G28860 AT3G43800 AT3G48560 AT3G50260 AT3G51550 AT3G52880 AT3G55830 AT3G59280 AT3G62980 AT3G63080 AT3G63310 AT4G16830 AT4G17500 AT4G23750 AT4G26410 AT4G33420 AT4G33780 AT4G36430 AT4G36780 AT4G39730 AT4G39780 AT5G10510 AT5G13330 AT5G13910 AT5G14920 AT5G15180 AT5G19890 AT5G37740 AT5G41210 AT5G42180 AT5G43700 AT5G44790 AT5G47750 AT5G51300 AT5G55910 AT5G66390 AT1G03850 AT1G04510 AT1G08110 AT1G11860 AT1G13060 AT1G16470 AT1G17290 AT1G23190 AT1G48030 AT1G50200 AT1G53850 AT1G59900 AT1G60710 AT1G63770 AT1G63940 AT1G64550 AT1G68560 AT1G69040 AT1G74020 AT1G74100 AT1G74910 AT1G76030 AT1G76540 AT1G77180 AT1G79930 AT1G80460 AT1G80840 AT2G05710 AT2G06850 AT2G14210 AT2G16720 AT2G21250 AT2G23320 AT2G24200 AT2G24570 AT2G28740 AT2G30970 AT2G32520 AT2G32700 AT2G33590 AT2G35930 AT2G38470 AT2G39800 AT2G42810 AT2G44350 AT2G45290 AT2G47400 AT3G02530 AT3G03780 AT3G04720 AT3G06850 AT3G07720 AT3G11830 AT3G13110 AT3G16470 AT3G17240 AT3G23990 AT3G44320 AT3G45930 AT3G46320 AT3G46600 AT3G53620 AT3G54470 AT3G55620 AT3G57610 AT3G61190 AT3G62680 AT3G63210 AT4G01370 AT4G10320 AT4G11360 AT4G13780 AT4G16760 AT4G20380 AT4G26870 AT4G26970 AT4G31990 AT4G35450 AT4G36410 AT4G38220 AT4G38630 AT4G39660 AT4G39950 AT5G02840 AT5G03740 AT5G05410 AT5G07010 AT5G07350 AT5G08300 AT5G09980 AT5G10540 AT5G13180 AT5G18170 AT5G20700 AT5G24030 AT5G24090 AT5G37770 AT5G38830 AT5G40770 AT5G41670 AT5G44460 AT5G44610 AT5G47120 AT5G48655 AT5G49450 AT5G54490 AT5G56680 AT5G56980 AT5G57560 AT5G60160 AT5G61780 AT5G66070 AT1G15670 AT1G22530 AT1G25220 AT1G48410 AT3G01770 AT3G30775 AT3G48680 AT3G51670 AT4G09160 AT4G14410 AT5G08130 AT5G63510 AT1G06400 AT1G09570 AT1G15750 AT1G19120 AT1G20160 AT1G30270 AT1G32230 AT1G34370 AT1G73500 AT1G74660 AT1G78570 AT1G80410 AT2G03760 AT3G01910 AT3G02790 AT3G05500 AT3G13300 AT3G14440 AT3G16950 AT3G18000 AT3G19260 AT3G22380 AT3G50360 AT3G51920 AT3G53110 AT4G04800 AT4G08950 AT4G08980 AT4G10100 AT4G11260 AT4G24275 AT4G29130 AT4G32330 AT4G33360 AT5G03455 AT5G06370 AT5G08450 AT5G08620 AT5G09830 AT5G20570 AT5G41560 AT5G48870 AT5G58220 AT5G61230 AT5G63620 AT5G64960 AT1G15210 AT4G26570 AT2G43710"
4.13985722475209e-16,71,348,"Response to cadmium ion ","AT3G03170 AT5G56550 AT1G02920 AT1G04510 AT1G08110 AT1G11860 AT1G13060 AT1G13930 AT1G17290 AT1G23190 AT1G27130 AT1G48030 AT1G50200 AT1G50480 AT1G53850 AT1G59900 AT1G60710 AT1G63770 AT1G63940 AT1G64550 AT1G68560 AT1G74910 AT1G76030 AT1G79930 AT2G05710 AT2G21250 AT2G24200 AT2G30970 AT2G33590 AT2G42810 AT2G43750 AT2G44350 AT2G45290 AT3G02530 AT3G03780 AT3G06050 AT3G09270 AT3G11830 AT3G13110 AT3G17240 AT3G23990 AT3G25230 AT3G44320 AT3G52880 AT3G52990 AT3G53620 AT3G54470 AT3G57610 AT4G10320 AT4G11360 AT4G13780 AT4G16760 AT4G24280 AT4G26870 AT4G26970 AT4G31990 AT4G35450 AT4G39660 AT5G02840 AT5G07350 AT5G08300 AT5G10540 AT5G18170 AT5G35630 AT5G38830 AT5G41670 AT5G44460 AT5G56680 AT5G60160 AT5G61780 AT5G67300"
1.48399909864282e-15,137,995,"Response to inorganic substance ","AT1G12010 AT1G12110 AT1G20450 AT2G16850 AT2G37180 AT3G03170 AT4G00430 AT5G56550 AT1G08930 AT2G43790 AT1G01470 AT2G33740 AT2G41010 AT2G46140 AT3G45640 AT1G02920 AT1G04510 AT1G08110 AT1G11860 AT1G13060 AT1G13930 AT1G16470 AT1G17290 AT1G23190 AT1G27130 AT1G32640 AT1G48030 AT1G50200 AT1G50480 AT1G53850 AT1G59900 AT1G60710 AT1G62660 AT1G63770 AT1G63940 AT1G64550 AT1G68560 AT1G74910 AT1G76030 AT1G79930 AT2G05710 AT2G14210 AT2G21250 AT2G22430 AT2G24200 AT2G28740 AT2G30970 AT2G32520 AT2G32700 AT2G33590 AT2G38470 AT2G39800 AT2G42810 AT2G43750 AT2G44350 AT2G45290 AT3G01420 AT3G02530 AT3G03780 AT3G06050 AT3G07720 AT3G09270 AT3G11830 AT3G13110 AT3G17240 AT3G23990 AT3G25230 AT3G44320 AT3G45930 AT3G46320 AT3G52880 AT3G52990 AT3G53620 AT3G54470 AT3G57610 AT4G10320 AT4G11360 AT4G13780 AT4G16760 AT4G24280 AT4G26870 AT4G26970 AT4G31990 AT4G35450 AT4G38220 AT4G39660 AT4G39950 AT5G02840 AT5G05410 AT5G07350 AT5G08300 AT5G10540 AT5G13330 AT5G18170 AT5G24030 AT5G24090 AT5G35630 AT5G37770 AT5G38830 AT5G41670 AT5G44460 AT5G44610 AT5G47120 AT5G56680 AT5G58070 AT5G60160 AT5G61780 AT5G67300 AT3G30775 AT3G50500 AT1G19120 AT1G30270 AT1G32230 AT1G34370 AT1G36060 AT1G80410 AT2G35930 AT2G43350 AT2G46370 AT3G01910 AT3G02790 AT3G05500 AT3G14440 AT3G22380 AT3G51920 AT4G01370 AT4G20380 AT4G24275 AT4G39730 AT5G03740 AT5G06370 AT5G08620 AT5G09830 AT5G40770 AT5G48870 AT5G64960 AT4G26570"
2.67668070279274e-15,85,485,"Response to metal ion ","AT1G12010 AT3G03170 AT5G56550 AT2G33740 AT1G02920 AT1G04510 AT1G08110 AT1G11860 AT1G13060 AT1G13930 AT1G16470 AT1G17290 AT1G23190 AT1G27130 AT1G48030 AT1G50200 AT1G50480 AT1G53850 AT1G59900 AT1G60710 AT1G63770 AT1G63940 AT1G64550 AT1G68560 AT1G74910 AT1G76030 AT1G79930 AT2G05710 AT2G21250 AT2G24200 AT2G30970 AT2G32520 AT2G32700 AT2G33590 AT2G42810 AT2G43750 AT2G44350 AT2G45290 AT3G02530 AT3G03780 AT3G06050 AT3G07720 AT3G09270 AT3G11830 AT3G13110 AT3G17240 AT3G23990 AT3G25230 AT3G44320 AT3G52880 AT3G52990 AT3G53620 AT3G54470 AT3G57610 AT4G10320 AT4G11360 AT4G13780 AT4G16760 AT4G24280 AT4G26870 AT4G26970 AT4G31990 AT4G35450 AT4G38220 AT4G39660 AT5G02840 AT5G07350 AT5G08300 AT5G10540 AT5G18170 AT5G35630 AT5G37770 AT5G38830 AT5G41670 AT5G44460 AT5G44610 AT5G56680 AT5G60160 AT5G61780 AT5G67300 AT1G34370 AT5G06370 AT5G09830 AT3G51920 AT4G26570"
4.09817640764318e-14,83,489,"Cellular amino acid metabolic process ","AT1G06570 AT1G09620 AT1G11860 AT1G14610 AT1G18640 AT1G19400 AT1G25220 AT1G29900 AT1G48850 AT1G50200 AT1G72550 AT1G75330 AT2G13360 AT2G14170 AT2G17720 AT2G26080 AT2G26400 AT2G27450 AT2G31810 AT2G40660 AT2G43750 AT3G06300 AT3G11710 AT3G23940 AT3G27740 AT3G30775 AT3G53580 AT3G54640 AT3G57050 AT3G59760 AT3G63250 AT4G10320 AT4G14710 AT4G24830 AT4G26870 AT5G08100 AT5G11880 AT5G13280 AT5G18900 AT5G22630 AT5G26710 AT5G26780 AT5G26830 AT5G28020 AT5G38830 AT5G51880 AT1G80360 AT3G45300 AT3G48560 AT4G33150 AT4G39950 AT1G17290 AT1G31860 AT1G62180 AT1G63660 AT2G30970 AT2G39800 AT3G03780 AT3G06350 AT3G13110 AT3G17810 AT3G49680 AT4G13780 AT4G21990 AT4G23590 AT4G29840 AT4G30530 AT4G30550 AT4G31990 AT4G33680 AT4G38220 AT4G39980 AT5G11520 AT5G18170 AT5G35630 AT5G38200 AT5G55070 AT5G56680 AT5G56760 AT4G20380 AT5G17460 AT5G49450 AT1G69040"
1.55465301944921e-13,207,1865,"Organonitrogen compound biosynthetic process ","AT1G01230 AT1G03410 AT1G04170 AT1G07070 AT1G07830 AT1G09150 AT1G09430 AT1G09620 AT1G14290 AT1G14610 AT1G16350 AT1G16560 AT1G17470 AT1G18070 AT1G18640 AT1G25220 AT1G29900 AT1G48850 AT1G50200 AT1G50480 AT1G51730 AT1G52710 AT1G63660 AT1G69640 AT1G72550 AT1G74340 AT1G75330 AT1G76400 AT2G07671 AT2G07696 AT2G07698 AT2G13360 AT2G15910 AT2G21290 AT2G27450 AT2G31810 AT2G32070 AT2G35610 AT2G36580 AT2G40660 AT2G42910 AT2G43750 AT2G43760 AT2G44050 AT2G44065 AT3G07270 AT3G07720 AT3G11250 AT3G11710 AT3G11800 AT3G23940 AT3G27740 AT3G29360 AT3G52990 AT3G53580 AT3G54640 AT3G57050 AT3G57610 AT3G59760 AT3G63250 AT4G10320 AT4G20980 AT4G22930 AT4G24620 AT4G24830 AT4G26870 AT4G29130 AT5G02050 AT5G08570 AT5G11880 AT5G13280 AT5G15490 AT5G17290 AT5G19530 AT5G22630 AT5G25754 AT5G26710 AT5G26780 AT5G26830 AT5G27640 AT5G28020 AT5G38830 AT5G39850 AT5G40850 AT5G42000 AT5G57020 AT5G66860 ATCG00830 ATCG01310 AT1G73500 AT1G74100 AT1G80360 AT2G26670 AT3G48560 AT4G39080 AT5G23450 AT5G23670 AT5G58220 AT1G07210 AT1G11480 AT1G13560 AT1G13950 AT1G15250 AT1G16740 AT1G20950 AT1G23410 AT1G29970 AT1G30120 AT1G31860 AT1G44770 AT1G47278 AT1G48410 AT1G49500 AT1G59900 AT1G62180 AT1G70190 AT1G74030 AT1G80860 AT2G16930 AT2G18400 AT2G20060 AT2G22540 AT2G26400 AT2G34520 AT2G34590 AT2G34750 AT2G38040 AT2G39800 AT2G40290 AT2G42780 AT2G43360 AT2G44500 AT2G45710 AT3G03780 AT3G05500 AT3G06040 AT3G06320 AT3G06350 AT3G13110 AT3G13930 AT3G15820 AT3G17465 AT3G17810 AT3G18000 AT3G18760 AT3G25860 AT3G44590 AT3G49680 AT3G54470 AT3G55620 AT3G55830 AT3G57490 AT3G57650 AT3G61240 AT4G00660 AT4G10100 AT4G13780 AT4G14710 AT4G18040 AT4G21990 AT4G28360 AT4G29430 AT4G29840 AT4G30930 AT4G31460 AT4G33680 AT4G34620 AT4G36420 AT4G39980 AT5G15220 AT5G15520 AT5G18110 AT5G18790 AT5G20180 AT5G23535 AT5G35630 AT5G35680 AT5G36880 AT5G37475 AT5G43150 AT5G47320 AT5G47435 AT5G54160 AT5G54940 AT5G55140 AT5G56680 AT5G56760 AT5G56940 AT5G57870 ATCG00500 ATMG01190 AT1G43190 AT1G09570 AT1G76790 AT2G38470 AT2G42810 AT2G43790 AT3G45640 AT4G00830 AT4G30530 AT4G39800 AT4G39950 AT5G18480 AT5G50920 AT3G06650 AT3G16950 AT5G49460"
