_MEMBER_WS_c1_which_mclass____6___1_,_LogP_WS_c1_which_mclass____6___1_,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-19,GO:0033014,tetrapyrrole biosynthetic process,M1,1,0
1,-2.5,GO:0009767,photosynthetic electron transport chain,M1,1,0
1,-2.4,ath00670,One carbon pool by folate,M1,1,0
1,-4.8,GO:0006986,response to unfolded protein,M1,1,0
1,-7.1,GO:1901293,nucleoside phosphate biosynthetic process,M1,1,0
1,-3.3,GO:0006970,response to osmotic stress,M1,1,0
1,-2.8,GO:0006011,UDP-glucose metabolic process,M1,1,0
1,-7.1,GO:0009141,nucleoside triphosphate metabolic process,M1,1,0
1,-2.6,GO:1901606,alpha-amino acid catabolic process,M1,1,0
1,-3.4,GO:0015985,"energy coupled proton transport, down electrochemical gradient",M1,1,0
1,-11,ko04145,Phagosome,M1,1,0
1,-6.4,GO:0001666,response to hypoxia,M1,1,0
1,-6.5,GO:0006782,protoporphyrinogen IX biosynthetic process,M1,1,0
1,-2.7,ko00630,Glyoxylate and dicarboxylate metabolism,M1,1,0
1,-3.6,GO:0044255,cellular lipid metabolic process,M1,1,0
1,-2.1,GO:0009695,jasmonic acid biosynthetic process,M1,1,0
1,-2.3,GO:0042362,fat-soluble vitamin biosynthetic process,M1,1,0
1,-2.9,M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type",M1,1,0
1,-2.3,GO:0006775,fat-soluble vitamin metabolic process,M1,1,0
1,-2.7,GO:0006081,cellular aldehyde metabolic process,M1,1,0
1,-2.3,GO:0019761,glucosinolate biosynthetic process,M1,1,0
1,-10,GO:0009658,chloroplast organization,M1,1,0
1,-2.5,M00372,"Abscisic acid biosynthesis, beta-carotene => abscisic acid",M1,1,0
1,-7.8,GO:0006753,nucleoside phosphate metabolic process,M1,1,0
1,-3.3,GO:0019319,hexose biosynthetic process,M1,1,0
1,-5.5,GO:0071826,ribonucleoprotein complex subunit organization,M1,1,0
1,-2.1,GO:0016052,carbohydrate catabolic process,M1,1,0
1,-3,GO:0051273,beta-glucan metabolic process,M1,1,0
1,-2.1,M00527,"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",M1,1,0
1,-3,ko01212,Fatty acid metabolism,M1,1,0
1,-3.6,GO:0005976,polysaccharide metabolic process,M1,1,0
1,-4,GO:0071806,protein transmembrane transport,M1,1,0
1,-4.2,ko00360,Phenylalanine metabolism,M1,1,0
1,-12,GO:0046394,carboxylic acid biosynthetic process,M1,1,0
1,-4,ath00270,Cysteine and methionine metabolism,M1,1,0
1,-8.8,ko00860,Porphyrin and chlorophyll metabolism,M1,1,0
1,-2.8,GO:0001505,regulation of neurotransmitter levels,M1,1,0
1,-6.1,ko00190,Oxidative phosphorylation,M1,1,0
1,-2.1,GO:0009089,lysine biosynthetic process via diaminopimelate,M1,1,0
1,-2.7,ath00630,Glyoxylate and dicarboxylate metabolism,M1,1,0
1,-3.5,GO:0034637,cellular carbohydrate biosynthetic process,M1,1,0
1,-7.6,GO:0009611,response to wounding,M1,1,0
1,-2.6,GO:0009135,purine nucleoside diphosphate metabolic process,M1,1,0
1,-4.4,GO:0006733,oxidoreduction coenzyme metabolic process,M1,1,0
1,-3.3,GO:0048511,rhythmic process,M1,1,0
1,-2,GO:0017148,negative regulation of translation,M1,1,0
1,-3.9,ko00906,Carotenoid biosynthesis,M1,1,0
1,-10,GO:0009416,response to light stimulus,M1,1,0
1,-2.6,GO:0009833,plant-type primary cell wall biogenesis,M1,1,0
1,-3.1,ath_M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",M1,1,0
1,-9.6,GO:0006790,sulfur compound metabolic process,M1,1,0
1,-2.7,ath03013,RNA transport,M1,1,0
1,-6.9,GO:0044262,cellular carbohydrate metabolic process,M1,1,0
1,-6.2,GO:0016123,xanthophyll biosynthetic process,M1,1,0
1,-19,GO:0009266,response to temperature stimulus,M1,1,0
1,-3.2,GO:0071482,cellular response to light stimulus,M1,1,0
1,-3.9,ko00020,Citrate cycle (TCA cycle),M1,1,0
1,-5.6,GO:0072598,protein localization to chloroplast,M1,1,0
1,-3.2,GO:0008299,isoprenoid biosynthetic process,M1,1,0
1,-4,GO:0034032,purine nucleoside bisphosphate metabolic process,M1,1,0
1,-3.6,GO:0044550,secondary metabolite biosynthetic process,M1,1,0
1,-6,GO:0071453,cellular response to oxygen levels,M1,1,0
1,-3.2,GO:0042133,neurotransmitter metabolic process,M1,1,0
1,-4.2,GO:0009631,cold acclimation,M1,1,0
1,-9.2,GO:0006457,protein folding,M1,1,0
1,-2.8,ko00920,Sulfur metabolism,M1,1,0
1,-2.2,GO:0009063,cellular amino acid catabolic process,M1,1,0
1,-2.8,GO:0006766,vitamin metabolic process,M1,1,0
1,-4.1,M00137,"Flavanone biosynthesis, phenylalanine => naringenin",M1,1,0
1,-4.2,GO:0045037,protein import into chloroplast stroma,M1,1,0
1,-5.3,GO:0035384,thioester biosynthetic process,M1,1,0
1,-2.3,GO:0110102,chloroplast ribulose bisphosphate carboxylase complex assembly,M1,1,0
1,-2.6,ath_M00034,Methionine salvage pathway,M1,1,0
1,-25,GO:0051186,cofactor metabolic process,M1,1,0
1,-2.6,GO:0009082,branched-chain amino acid biosynthetic process,M1,1,0
1,-2.3,GO:0016144,S-glycoside biosynthetic process,M1,1,0
1,-5.6,GO:0071456,cellular response to hypoxia,M1,1,0
1,-2,GO:0009166,nucleotide catabolic process,M1,1,0
1,-2.5,GO:0043476,pigment accumulation,M1,1,0
1,-2.1,GO:0006183,GTP biosynthetic process,M1,1,0
1,-8.8,GO:0009414,response to water deprivation,M1,1,0
1,-6.8,GO:0009142,nucleoside triphosphate biosynthetic process,M1,1,0
1,-2.5,GO:2001293,malonyl-CoA metabolic process,M1,1,0
1,-3.9,ath00906,Carotenoid biosynthesis,M1,1,0
1,-10,GO:0006732,coenzyme metabolic process,M1,1,0
1,-4.2,ath00360,Phenylalanine metabolism,M1,1,0
1,-2.4,ko00670,One carbon pool by folate,M1,1,0
1,-3,ath01212,Fatty acid metabolism,M1,1,0
1,-3.6,ath_M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",M1,1,0
1,-3.1,GO:0032272,negative regulation of protein polymerization,M1,1,0
1,-5.1,GO:0006418,tRNA aminoacylation for protein translation,M1,1,0
1,-6.6,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,M1,1,0
1,-2.3,ko00261,Monobactam biosynthesis,M1,1,0
1,-2.8,GO:0043480,pigment accumulation in tissues,M1,1,0
1,-2.9,GO:0046128,purine ribonucleoside metabolic process,M1,1,0
1,-5.8,GO:0009642,response to light intensity,M1,1,0
1,-2.1,GO:0010304,PSII associated light-harvesting complex II catabolic process,M1,1,0
1,-2.8,GO:0051187,cofactor catabolic process,M1,1,0
1,-3.3,ko00970,Aminoacyl-tRNA biosynthesis,M1,1,0
1,-3.3,GO:0044247,cellular polysaccharide catabolic process,M1,1,0
1,-2.5,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",M1,1,0
1,-2.8,GO:0009269,response to desiccation,M1,1,0
1,-19,GO:0046148,pigment biosynthetic process,M1,1,0
1,-2.2,ath03060,Protein export,M1,1,0
1,-8.8,GO:0072330,monocarboxylic acid biosynthetic process,M1,1,0
1,-9,GO:0042255,ribosome assembly,M1,1,0
1,-2.6,GO:0019362,pyridine nucleotide metabolic process,M1,1,0
1,-4.1,GO:0065002,intracellular protein transmembrane transport,M1,1,0
1,-3.2,GO:0051274,beta-glucan biosynthetic process,M1,1,0
1,-2.4,GO:0051644,plastid localization,M1,1,0
1,-4.1,GO:0005977,glycogen metabolic process,M1,1,0
1,-2.6,GO:0046031,ADP metabolic process,M1,1,0
1,-9.6,ko01200,Carbon metabolism,M1,1,0
1,-2.7,GO:0009070,serine family amino acid biosynthetic process,M1,1,0
1,-4.1,ath_M00137,"Flavanone biosynthesis, phenylalanine => naringenin",M1,1,0
1,-3.3,GO:0072593,reactive oxygen species metabolic process,M1,1,0
1,-2.5,GO:1901661,quinone metabolic process,M1,1,0
1,-2.8,ath_M00169,"CAM (Crassulacean acid metabolism), light",M1,1,0
1,-2.3,GO:0034764,positive regulation of transmembrane transport,M1,1,0
1,-5.4,ath01210,2-Oxocarboxylic acid metabolism,M1,1,0
1,-5.1,GO:0042744,hydrogen peroxide catabolic process,M1,1,0
1,-6.9,GO:0034220,ion transmembrane transport,M1,1,0
1,-2.4,ko00250,"Alanine, aspartate and glutamate metabolism",M1,1,0
1,-3.9,ko00260,"Glycine, serine and threonine metabolism",M1,1,0
1,-2.7,GO:2001057,reactive nitrogen species metabolic process,M1,1,0
1,-7,GO:0009144,purine nucleoside triphosphate metabolic process,M1,1,0
1,-2.1,GO:0090066,regulation of anatomical structure size,M1,1,0
1,-9,GO:0016108,tetraterpenoid metabolic process,M1,1,0
1,-2.7,GO:0006636,unsaturated fatty acid biosynthetic process,M1,1,0
1,-3.3,GO:0017038,protein import,M1,1,0
1,-2.1,GO:0060918,auxin transport,M1,1,0
1,-3.5,GO:0009637,response to blue light,M1,1,0
1,-5,GO:0009123,nucleoside monophosphate metabolic process,M1,1,0
1,-2,GO:1901292,nucleoside phosphate catabolic process,M1,1,0
1,-6.2,GO:0000302,response to reactive oxygen species,M1,1,0
1,-2,ath_M00165,Reductive pentose phosphate cycle (Calvin cycle),M1,1,0
1,-5.2,GO:0019637,organophosphate metabolic process,M1,1,0
1,-6.5,GO:0009199,ribonucleoside triphosphate metabolic process,M1,1,0
1,-6.3,ko00480,Glutathione metabolism,M1,1,0
1,-5.4,GO:0008610,lipid biosynthetic process,M1,1,0
1,-5.9,GO:0009201,ribonucleoside triphosphate biosynthetic process,M1,1,0
1,-2.3,GO:0009741,response to brassinosteroid,M1,1,0
1,-2.9,GO:0035966,response to topologically incorrect protein,M1,1,0
1,-2.5,GO:0019363,pyridine nucleotide biosynthetic process,M1,1,0
1,-6.3,GO:0042273,ribosomal large subunit biogenesis,M1,1,0
