"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.64192978779655e-07,72,3194,"Response to chemical ","AT1G11670 AT1G12010 AT1G19180 AT1G27730 AT1G77370 AT2G24150 AT2G37180 AT2G40140 AT2G47160 AT4G00430 AT4G17870 AT4G28270 AT5G05440 AT5G20900 AT5G53160 AT5G59820 AT5G63030 AT1G11910 AT1G13930 AT1G50480 AT2G43750 AT5G50920 AT1G13260 AT1G22190 AT1G37130 AT2G18980 AT2G33740 AT2G41010 AT2G43350 AT3G15210 AT3G43800 AT3G56880 AT3G63080 AT3G63310 AT4G11600 AT4G33420 AT4G36430 AT4G39780 AT5G19890 AT5G37740 AT5G44790 AT5G61590 AT1G03850 AT1G11860 AT1G60710 AT2G16720 AT2G47400 AT3G03780 AT3G06850 AT3G13110 AT3G61190 AT3G63210 AT4G11360 AT4G36410 AT4G38220 AT4G39660 AT5G02840 AT5G06320 AT5G13180 AT5G18170 AT5G20700 AT5G24090 AT5G24530 AT5G37770 AT5G49450 AT1G15670 AT1G30270 AT1G74660 AT2G19110 AT3G51920 AT5G03455 AT5G63620"
1.95266806631324e-06,75,3648,"Response to stress ","AT1G12010 AT1G19180 AT1G77370 AT2G04410 AT2G37180 AT2G40140 AT3G06420 AT4G00430 AT4G21980 AT4G28270 AT5G20900 AT5G63030 AT1G60940 AT2G21640 AT4G37010 AT1G02305 AT1G09970 AT1G13930 AT1G37130 AT2G18980 AT2G41010 AT2G43350 AT3G12920 AT3G15210 AT3G26470 AT3G56880 AT3G61190 AT3G63080 AT3G63310 AT4G11600 AT4G33420 AT4G36430 AT5G05960 AT5G06320 AT5G09978 AT5G18650 AT5G19890 AT5G24530 AT1G03850 AT1G11910 AT1G22190 AT1G27730 AT1G49300 AT1G53580 AT1G76690 AT2G16720 AT3G03780 AT3G06850 AT3G61060 AT4G20830 AT5G02840 AT5G13180 AT5G18170 AT5G20700 AT5G24090 AT5G37770 AT5G43060 AT5G43350 AT5G49450 AT5G59820 AT5G61590 AT1G78290 AT2G23030 AT4G30440 AT1G30270 AT1G47128 AT1G53210 AT1G75380 AT2G24150 AT2G33770 AT2G40970 AT2G43910 AT3G51920 AT5G02020 AT5G22360"
4.35227184579363e-06,26,682,"Response to osmotic stress ","AT1G12010 AT1G60940 AT2G41010 AT3G56880 AT1G11910 AT1G22190 AT1G27730 AT1G53580 AT2G16720 AT3G03780 AT4G11600 AT5G02840 AT5G13180 AT5G18170 AT5G24090 AT5G43060 AT5G59820 AT1G78290 AT2G23030 AT1G13930 AT1G49300 AT1G53210 AT3G51920 AT5G02020 AT5G22360 AT5G49450"
1.38990768921215e-05,36,1302,"Organic acid metabolic process ","AT1G06570 AT1G09430 AT1G11860 AT1G19400 AT1G37130 AT1G50480 AT1G78670 AT2G13360 AT2G43750 AT4G14710 AT5G51040 AT1G76690 AT2G43910 AT3G51840 AT4G30530 AT4G33150 AT1G13280 AT1G13930 AT2G31350 AT3G03780 AT3G06850 AT3G13110 AT3G14940 AT3G17810 AT4G34350 AT4G38220 AT5G16370 AT5G18170 AT5G21170 AT5G56760 AT4G30440 AT2G41010 AT5G49450 AT5G60620 AT5G61590 AT5G24530"
1.38990768921215e-05,23,606,"Response to salt stress ","AT1G12010 AT1G60940 AT2G41010 AT3G56880 AT1G11910 AT1G27730 AT1G53580 AT2G16720 AT3G03780 AT4G11600 AT5G02840 AT5G13180 AT5G18170 AT5G24090 AT5G43060 AT5G59820 AT1G13930 AT1G49300 AT1G53210 AT3G51920 AT5G02020 AT5G22360 AT5G49450"
1.38990768921215e-05,33,1133,"Carboxylic acid metabolic process ","AT1G06570 AT1G09430 AT1G11860 AT1G19400 AT1G50480 AT1G78670 AT2G13360 AT2G43750 AT4G14710 AT5G51040 AT1G76690 AT3G51840 AT4G33150 AT1G13280 AT1G13930 AT2G31350 AT3G03780 AT3G06850 AT3G13110 AT3G14940 AT3G17810 AT4G30530 AT4G34350 AT4G38220 AT5G16370 AT5G18170 AT5G21170 AT5G56760 AT4G30440 AT2G41010 AT5G49450 AT5G60620 AT5G24530"
1.38990768921215e-05,36,1299,"Oxoacid metabolic process ","AT1G06570 AT1G09430 AT1G11860 AT1G19400 AT1G37130 AT1G50480 AT1G78670 AT2G13360 AT2G43750 AT4G14710 AT5G51040 AT1G76690 AT2G43910 AT3G51840 AT4G30530 AT4G33150 AT1G13280 AT1G13930 AT2G31350 AT3G03780 AT3G06850 AT3G13110 AT3G14940 AT3G17810 AT4G34350 AT4G38220 AT5G16370 AT5G18170 AT5G21170 AT5G56760 AT4G30440 AT2G41010 AT5G49450 AT5G60620 AT5G61590 AT5G24530"
9.15016097905076e-05,19,484,"Response to oxidative stress ","AT1G12010 AT1G77370 AT5G63030 AT2G21640 AT2G18980 AT2G43350 AT3G63080 AT4G11600 AT4G33420 AT4G36430 AT5G19890 AT1G03850 AT1G49300 AT4G20830 AT5G37770 AT5G59820 AT1G09970 AT1G27730 AT2G24150"
0.000105415616238094,47,2150,"Response to abiotic stimulus ","AT1G12010 AT2G37180 AT2G40140 AT4G00430 AT1G60940 AT1G13930 AT2G30520 AT2G41010 AT3G56880 AT1G11910 AT1G22190 AT1G27730 AT1G53580 AT1G78290 AT1G80920 AT2G16720 AT2G41100 AT3G03780 AT3G06850 AT3G19450 AT3G43800 AT3G61190 AT4G11600 AT4G27280 AT4G33150 AT5G02840 AT5G13180 AT5G18170 AT5G24090 AT5G37770 AT5G43060 AT5G59820 AT5G61590 AT2G23030 AT1G19180 AT1G30270 AT1G37130 AT1G49300 AT1G53210 AT1G74660 AT2G40970 AT2G43350 AT3G51920 AT4G40060 AT5G02020 AT5G22360 AT5G49450"
0.000176161221045758,28,995,"Response to inorganic substance ","AT1G12010 AT2G37180 AT4G00430 AT2G33740 AT2G41010 AT3G56880 AT1G11860 AT1G13930 AT1G22190 AT1G27730 AT1G50480 AT1G60710 AT2G43750 AT3G03780 AT3G13110 AT4G11360 AT4G11600 AT4G38220 AT4G39660 AT5G02840 AT5G18170 AT5G24090 AT5G37770 AT5G61590 AT1G30270 AT2G19110 AT2G43350 AT3G51920"
