_MEMBER_WS_c1_which_mclass____8___1_,_LogP_WS_c1_which_mclass____8___1_,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.245846727340086,GO:0010089,M1,1,0,GO Biological Processes,19,xylem development,19_GO:0032502 developmental process,-5.245846727340086,3.9090360825500494,5.756296951690534,18982,43,1581,14,0.8855154965211891,0.23561379322035908,816318|819150|826934|828084|829773|836359|836574|836762|841515|842568|843524|844350|844441|3768762,VND1|LBD18|CLE44|JLO|NAC076|NAC101|XND1|NAC105|AT1G50930|ANAC026|VND7|HP6|AT1G64625|AT3G20557,-1.442526203761332,0,1,1,1,-5.245846727340086,8.575946507635313,
1,-4.139578199963628,GO:1901348,M1,1,0,GO Biological Processes,19,positive regulation of secondary cell wall biogenesis,19_GO:0048518 positive regulation of biological process,-4.139578199963628,8.575946507635313,6.0427329730625345,18982,7,1581,5,0.3162555344718533,0.14120995149448945,816318|829773|831127|836762|842568,VND1|NAC076|MYB46|NAC105|ANAC026,-0.8133789311045365,0,1,0,0,-5.245846727340086,8.575946507635313,
1,-3.975332043080113,GO:0048759,M1,1,0,GO Biological Processes,19,xylem vessel member cell differentiation,19_GO:0032502 developmental process,-3.975332043080113,6.548904605830603,5.54877181285103,18982,11,1581,6,0.3795066413662239,0.15463866770479434,816318|829773|836359|836762|842568|843524,VND1|NAC076|NAC101|NAC105|ANAC026|VND7,-0.7740715108293215,0,1,0,0,-5.245846727340086,8.575946507635313,
1,-3.744620850778247,GO:1903340,M1,1,0,GO Biological Processes,19,positive regulation of cell wall organization or biogenesis,19_GO:0048518 positive regulation of biological process,-3.744620850778247,7.503953194180899,5.546018687430043,18982,8,1581,5,0.3162555344718533,0.14120995149448945,816318|829773|831127|836762|842568,VND1|NAC076|MYB46|NAC105|ANAC026,-0.6446055887581061,0,1,0,0,-5.245846727340086,8.575946507635313,
1,-3.597639577140987,GO:1905177,M1,1,0,GO Biological Processes,19,tracheary element differentiation,19_GO:0032502 developmental process,-3.597639577140987,4.943780927930945,4.903421146283658,18982,17,1581,7,0.44275774826059455,0.16697581777219234,816318|818641|829773|836359|836762|842568|843524,VND1|LBD15|NAC076|NAC101|NAC105|ANAC026|VND7,-0.6446055887581061,0,1,0,0,-5.245846727340086,8.575946507635313,
1,-3.4269511230408476,GO:0010087,M1,1,0,GO Biological Processes,19,phloem or xylem histogenesis,19_GO:0032502 developmental process,-3.4269511230408476,2.2869190687027503,3.985820841155418,18982,105,1581,20,1.2650221378874131,0.2810726863560933,816318|817173|819150|826934|828084|829773|831302|832610|836359|836574|836762|840078|841515|842568|843105|843524|844350|844441|3768762|5007842,VND1|ER|LBD18|CLE44|JLO|NAC076|AT5G14510|CYCA2;1|NAC101|XND1|NAC105|BRX|AT1G50930|ANAC026|AT1G67790|VND7|HP6|AT1G64625|AT3G20557|CLE45,-0.6446055887581061,0,1,0,0,-5.245846727340086,8.575946507635313,
1,-3.2688807735950007,GO:2000652,M1,1,0,GO Biological Processes,19,regulation of secondary cell wall biogenesis,19_GO:0071840 cellular component organization or biogenesis,-3.2688807735950007,3.6018975332068313,4.2989428228385735,18982,30,1581,9,0.5692599620493358,0.18921245501095346,816318|819997|828364|829482|829773|831127|836762|838219|842568,VND1|MYB83|MYB85|MYB69|NAC076|MYB46|NAC105|MYB58|ANAC026,-0.5795036023230835,0,1,0,0,-5.245846727340086,8.575946507635313,
1,-2.9486532300415567,GO:1903338,M1,1,0,GO Biological Processes,19,regulation of cell wall organization or biogenesis,19_GO:0050789 regulation of biological process,-2.9486532300415567,2.8710777438605173,3.829702183214691,18982,46,1581,11,0.6957621758380772,0.20904912971073372,816318|819997|828364|829482|829773|831127|836359|836685|836762|838219|842568,VND1|MYB83|MYB85|MYB69|NAC076|MYB46|NAC101|AT5G65590|NAC105|MYB58|ANAC026,-0.32142396551848385,0,1,0,0,-5.245846727340086,8.575946507635313,
1,-2.330904624589965,GO:0009834,M1,1,0,GO Biological Processes,19,plant-type secondary cell wall biogenesis,19_GO:0071840 cellular component organization or biogenesis,-2.330904624589965,2.0941264727946693,3.0652802543060718,18982,86,1581,15,0.9487666034155597,0.24380561500669226,816318|819997|826627|828364|828593|829482|829773|831127|836762|836858|837488|838219|840223|842568|843495,VND1|MYB83|NAC070|MYB85|AT4G24910|MYB69|NAC076|MYB46|NAC105|IRX14-L|GXM3|MYB58|NAC015|ANAC026|AT1G71690,0.0,0,1,0,0,-5.245846727340086,8.575946507635313,
1,-4.824772998110716,GO:0009451,M1,1,0,GO Biological Processes,19,RNA modification,19_GO:0008152 metabolic process,-4.824772998110716,1.8308765564687706,4.66678150089091,18982,341,1581,52,3.289057558507274,0.4485466419008195,814804|814827|814914|816226|816576|816742|817307|817942|818272|818309|819097|819688|819698|820319|820586|821701|822097|822494|823940|824800|824822|826774|827825|828630|831229|831382|831936|833735|834796|835172|836038|837123|837825|838009|839402|839466|839478|840066|841424|842263|842737|842970|843175|843226|843585|843687|843776|843949|844037|844155|6240220|10723034,AT2G02750|OTP85|REME1|AT2G17210|MEF21|AT2G22070|AT2G27610|AT2G33760|AT2G36980|AT2G37320|AHG11|MEF19|AT3G05340|AT3G11460|AT3G13770|AT3G21470|AT3G25060|AT3G28640|AT3G47840|AT3G56330|AT3G56550|AT4G11690|AT4G20770|OTP70|AT5G13830|AT5G15300|AT5G18180|AT5G37570|AT5G47460|AT5G50990|OTP80|MEF3|RPF1|AT1G14470|AT1G04840|AT1G03540|AT1G03510|AT1G31790|AT1G50000|CRR28|AT1G64310|pde194|IPT1|AT1G68930|AT1G72530|AT1G73530|AT1G74350|AT1G76170|AT1G77010|AT1G78190|AT4G19191|AT3G49142,-1.3224824701959432,0,2,1,1,-4.824772998110716,1.8308765564687706,
