_MEMBER_WS_c1_which_mclass____8___1_,_LogP_WS_c1_which_mclass____8___1_,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.3,GO:1900865,chloroplast RNA modification,M1,1,0
1,-2.2,GO:0051026,chiasma assembly,M1,1,0
1,-4.1,GO:1901348,positive regulation of secondary cell wall biogenesis,M1,1,0
1,-4.8,GO:0009451,RNA modification,M1,1,0
1,-2,GO:0010112,regulation of systemic acquired resistance,M1,1,0
1,-3.5,GO:0035825,homologous recombination,M1,1,0
1,-3.1,GO:0045143,homologous chromosome segregation,M1,1,0
1,-3.6,GO:1905177,tracheary element differentiation,M1,1,0
1,-2.1,GO:0010374,stomatal complex development,M1,1,0
1,-3.5,GO:0007129,synapsis,M1,1,0
1,-2.3,GO:0071669,plant-type cell wall organization or biogenesis,M1,1,0
1,-2.5,GO:0061982,meiosis I cell cycle process,M1,1,0
1,-2.3,GO:0098543,detection of other organism,M1,1,0
1,-2.3,GO:0009834,plant-type secondary cell wall biogenesis,M1,1,0
1,-3.4,GO:0045168,cell-cell signaling involved in cell fate commitment,M1,1,0
1,-3.4,GO:0010087,phloem or xylem histogenesis,M1,1,0
1,-2.3,GO:1900864,mitochondrial RNA modification,M1,1,0
1,-3.3,GO:2000652,regulation of secondary cell wall biogenesis,M1,1,0
1,-2.4,GO:0000712,resolution of meiotic recombination intermediates,M1,1,0
1,-2.6,GO:0006310,DNA recombination,M1,1,0
1,-3.4,GO:0030154,cell differentiation,M1,1,0
1,-2,GO:0045165,cell fate commitment,M1,1,0
1,-2.8,GO:0007127,meiosis I,M1,1,0
1,-2.6,GO:0010106,cellular response to iron ion starvation,M1,1,0
1,-2.1,GO:0071554,cell wall organization or biogenesis,M1,1,0
1,-4,GO:0048759,xylem vessel member cell differentiation,M1,1,0
1,-2.6,GO:0045132,meiotic chromosome segregation,M1,1,0
1,-2,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-2,GO:2000143,"negative regulation of DNA-templated transcription, initiation",M1,1,0
1,-2.9,GO:1903338,regulation of cell wall organization or biogenesis,M1,1,0
1,-5.2,GO:0010089,xylem development,M1,1,0
1,-3.7,GO:1903340,positive regulation of cell wall organization or biogenesis,M1,1,0
1,-3.5,GO:0007131,reciprocal meiotic recombination,M1,1,0
