TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT1G01160,GIF2,0.286735438,0.456704138,0.065582914,0.428338292,0.507133441,0.293386293,0.312110651,0.197072267,0.278880805,0.169968699,-0.221152524,0.141602854,0.220398003,0.006650855,0.025375213,-0.089663171,-0.007854633,0.459614279,0.172878841,0.349806685,0.063071247
AT1G01470,LEA14,2.235577032,-0.047304532,2.422166136,0.361596038,3.485907535,1.76532273,4.289706869,1.720875713,3.101402903,-2.282881563,0.186589104,-1.873980993,1.250330503,-0.470254301,2.054129837,-0.514701319,0.865825871,0.280077512,-1.95549952,1.257281109,-0.978295923
AT1G01510,AN,-0.459071848,-0.000513441,-0.436407239,-0.010130927,-0.021328109,0.130973556,-0.489095079,-0.345103037,-0.243547226,0.458558407,0.022664609,0.448940921,0.437743739,0.590045404,-0.030023231,0.113968811,0.215524622,-0.212484013,0.246587835,-0.129836617,0.329235231
AT1G02900,ATRALF1,1.747051091,-0.049291509,0.887536438,-0.172146648,-0.182008611,-0.395856223,-0.294758606,0.303013398,2.466624224,-1.796342601,-0.859514653,-1.919197739,-1.929059702,-2.142907314,-2.041809697,-1.444037693,0.719573133,0.921683469,-0.825367622,0.423306783,-1.323744308
AT1G03330,LSM2,0.185321711,0.26400083,0.140452157,0.350741195,0.17654358,-0.148760495,0.167047114,0.089412137,-0.30215462,0.078679119,-0.044869554,0.165419484,-0.008778131,-0.334082206,-0.018274596,-0.095909574,-0.487476331,0.697583745,0.512262034,0.298285055,0.112963345
AT1G03410,2A6,-0.244667238,0.474042061,-0.065225295,0.039129884,0.017565985,1.542557714,2.026813667,0.967242685,1.647220438,0.718709299,0.179441944,0.283797122,0.262233223,1.787224952,2.271480905,1.211909923,1.891887676,0.163564157,0.408231395,0.245356309,0.490023547
AT1G03850,ATGRXS13,1.918725879,-0.985858007,0.216905472,-0.559577332,0.691824286,0.112033053,1.053441171,0.703683746,3.123771463,-2.904583886,-1.701820407,-2.478303212,-1.226901593,-1.806692826,-0.865284708,-1.215042133,1.205045584,0.740586144,-1.178139735,0.533110012,-1.385615867
AT1G04080,PRP39,-0.495017407,0.035267549,-0.300197695,0.084971522,-0.256317139,0.347353102,-0.529771191,-0.325734702,-0.777138234,0.530284956,0.194819712,0.579988929,0.238700268,0.842370508,-0.034753784,0.169282704,-0.282120827,-0.148471084,0.346546323,-0.133237045,0.361780362
AT1G04170,EIF2,-0.280989758,0.015142421,-0.092258873,0.156172553,-0.425223835,-0.123736394,-0.439557029,-0.117791127,-0.678704516,0.296132179,0.188730885,0.437162312,-0.144234077,0.157253365,-0.15856727,0.163198631,-0.397714758,-0.136070004,0.144919754,-0.338784055,-0.057794297
AT1G04190,TPR3,0.251229539,0.502955441,0.398253466,0.516353137,-0.110170989,0.060601406,-0.03004651,0.076444597,-0.428831144,0.251725902,0.147023927,0.265123599,-0.361400528,-0.190628133,-0.281276049,-0.174784942,-0.680060683,0.420250209,0.16902067,0.151830654,-0.099398885
AT1G04510,MAC3A,-0.337113703,0.093812048,-0.295708578,0.01124501,-0.279672369,-0.254103228,-0.340379988,-0.254031866,-0.670307047,0.430925751,0.041405125,0.348358713,0.057441335,0.083010476,-0.003266285,0.083081837,-0.333193344,-0.104385284,0.232728419,-0.336305362,0.000808341
AT1G04630,MEE4,0.128601418,0.109774113,-0.007520875,0.067249225,-0.030818981,-0.282419948,-0.039470719,0.13550064,-0.029122952,-0.018827305,-0.136122293,-0.061352193,-0.159420399,-0.411021366,-0.168072137,0.006899221,-0.157724371,0.084358992,-0.044242426,-0.133698907,-0.262300325
AT1G05250,AtPRX1,1.899185555,1.527723303,0.120601329,0.481134521,1.236011502,0.219652104,-0.245468034,4.70591236,3.080928488,-0.371462252,-1.778584226,-1.418051034,-0.663174053,-1.679533451,-2.144653589,2.806726805,1.181742933,0.394573437,-1.504612118,-0.176736986,-2.075922541
AT1G05620,NSH2,0.364838077,0.395155097,0.499021457,0.828630149,0.048834355,-0.50027662,-0.187913591,-0.390389272,-0.287826297,0.03031702,0.134183381,0.463792072,-0.316003722,-0.865114697,-0.552751668,-0.755227349,-0.652664374,0.079600341,-0.285237736,0.093864708,-0.270973369
