TAIR,SYMBOL,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT1G09330,ECH,0.339625911,-0.050111632,0.272367728
AT1G13210,ACA.l,-0.331230431,0.140407649,0.396492661
AT1G16240,ATSYP51,-0.141526251,-0.093762528,0.084209092
AT1G16920,ATRABA1B,0.438343127,0.077614243,0.495410191
AT1G21170,SEC5B,0.608612128,0.1204357,0.617077777
AT1G23900,GAMMA-ADAPTIN,0.092674845,0.092365109,0.183011973
AT1G26670,ATVTI12,-0.440650088,-0.273807833,0.07720092
AT1G60490,ATVPS34,-0.005573947,0.070541342,0.14356172
AT1G71270,ATVPS52,0.442809268,0.149329241,0.40069302
AT1G71820,SEC6,0.104437459,0.094374261,0.051465195
AT1G73030,CHMP1A,-0.339600595,-0.082323271,-0.359455267
AT2G05170,ATVPS11,-0.198635386,-0.002332064,-0.215449711
AT2G17380,AP19,-0.049163467,-0.003072338,0.067582647
AT2G17790,VPS35A,0.867086531,0.071810676,0.974823238
AT2G17980,ATSLY1,0.105495276,-0.054144079,0.192174026
AT2G24765,ARF3,0.555614206,0.007202148,0.594658574
AT2G35190,ATNPSN11,0.986445401,-0.038014462,1.069438765
AT2G38020,EMB258,0.251206671,0.089835034,0.295474635
AT2G45980,ATI1,-0.382083697,-0.112809684,-0.185146638
AT3G13710,PRA1.F4,2.421802752,-1.497974111,2.243221277
AT3G17440,ATNPSN13,0.076452749,0.04452898,0.101223608
AT3G25040,ERD2B,0.24688121,-0.117477244,0.130297982
AT3G27530,GC6,0.462632934,0.086727558,0.478576461
AT4G15780,ATVAMP724,-0.507251946,-0.138548081,-0.224327465
AT4G17530,ATRAB1C,0.002059167,0.045094775,-0.390930869
AT4G19490,ATVPS54,0.422441943,0.195277621,0.359741637
AT4G19640,ARA-7,0.062118654,-0.120822986,0.119820981
AT4G20110,BP80-3;1,1.514065829,0.03725609,2.696294044
AT4G24550,AP4M,-0.007956945,-0.004765784,-0.011632193
AT4G27080,ATPDI7,-0.065522093,0.169106888,-0.071649054
AT4G29160,SNF7.1,-0.300061877,-0.085859933,-0.365072421
AT4G38360,LAZ1,0.364787921,0.072014045,0.342131684
AT5G06140,ATSNX1,-0.279874991,0.011710155,-0.036525748
AT5G08080,ATSYP132,0.025698721,0.10427912,-0.006153991
AT5G16830,ATPEP12,0.073356457,0.052661308,0.199723228
AT5G22770,alpha-ADR,0.052256322,0.128426448,0.098386064
AT5G24350,MIP2,0.403885583,0.113858748,0.258786195
AT5G44100,ckl7,0.178462488,0.013368445,0.003403889
AT5G46860,ATSYP22,0.093442157,-0.026183401,0.210371333
AT5G54280,ATM2,0.67443913,0.054709738,0.749722927
AT5G54310,AGD5,0.000139974,0.013713761,0.308715479
AT5G54440,AtTRS130,0.25791083,0.143386713,0.199750872
