_MEMBER_WS_c1_which_mclass____3___1_,_LogP_WS_c1_which_mclass____3___1_,GO,Description,_PATTERN_,_RANK_,CHILD_GO_WS_c1_which_mclass____3___1_
1,-7.847508989493755,GO:0023052,signaling,M1,1,GO:0045168 cell-cell signaling involved in cell fate commitment
1,-6.149459741374942,GO:0032502,developmental process,M1,1,GO:0045165 cell fate commitment
1,-5.251595477486405,GO:0009987,cellular process,M1,1,GO:0071669 plant-type cell wall organization or biogenesis
1,-4.672192321765214,GO:0071840,cellular component organization or biogenesis,M1,1,GO:2000652 regulation of secondary cell wall biogenesis
1,-4.169843823597776,GO:0022414,reproductive process,M1,1,GO:0048437 floral organ development
1,-3.6325904280589225,GO:0050896,response to stimulus,M1,1,GO:0010274 hydrotropism
1,-3.4198631151788272,GO:0050789,regulation of biological process,M1,1,GO:1903338 regulation of cell wall organization or biogenesis
1,-3.4036042890238556,GO:0008152,metabolic process,M1,1,GO:0019748 secondary metabolic process
1,-2.8142315093244687,GO:0048518,positive regulation of biological process,M1,1,GO:1901348 positive regulation of secondary cell wall biogenesis
1,-2.6259951180682726,GO:0032501,multicellular organismal process,M1,1,GO:2000039 regulation of trichome morphogenesis
1,-2.460813406538801,GO:0040007,growth,M1,1,GO:0009860 pollen tube growth
1,-2.156198489851924,GO:0048519,negative regulation of biological process,M1,1,GO:0031333 negative regulation of protein complex assembly
1,-2.094286776713026,GO:0051179,localization,M1,1,GO:0019915 lipid storage
