_MEMBER_WS_c1_which_mclass____3___1_,_LogP_WS_c1_which_mclass____3___1_,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-9.350785051332775,ath00940,M1,1,0,KEGG Pathway,24,Phenylpropanoid biosynthesis,,-9.350785051332775,2.911349693251534,7.441248966857655,18982,160,1630,40,2.4539877300613497,0.38321910408310766,816328|816415|816725|817017|818105|818420|819055|820564|821314|824158|825184|828728|829140|829304|829530|829795|830416|830561|830562|831370|832219|832525|832944|834746|835545|835953|836771|836802|836876|838016|838206|839082|841974|842478|842944|842945|843218|843795|843796|844421,AT2G18150|AT2G18980|CAD3|AT2G24800|AT2G35380|AT2G38390|BGLU17|AT3G13610|AT3G01190|AT3G49960|DIN2|AT4G26220|AT4G30170|AT4G31760|AT4G33870|AT4G36430|PRX52|PA2|AT5G06730|AT5G15180|AT5G20940|BGLU31|BGLU24|AT5G47000|BGLU41|AT5G58400|AT5G66390|UGT72E2|RHS19|PER4|AT1G05250|AT1G24735|AT1G55290|BGLU45|BGLU21|BGLU22|AT1G68850|CYP98A8|CYP98A9|CCR2,-5.848494523418002,0,1,1,1,-9.350785051332775,2.911349693251534,
1,-9.350785051332775,ko00940,M1,1,0,KEGG Pathway,24,Phenylpropanoid biosynthesis,,-9.350785051332775,2.911349693251534,7.441248966857655,18982,160,1630,40,2.4539877300613497,0.38321910408310766,816328|816415|816725|817017|818105|818420|819055|820564|821314|824158|825184|828728|829140|829304|829530|829795|830416|830561|830562|831370|832219|832525|832944|834746|835545|835953|836771|836802|836876|838016|838206|839082|841974|842478|842944|842945|843218|843795|843796|844421,AT2G18150|AT2G18980|CAD3|AT2G24800|AT2G35380|AT2G38390|BGLU17|AT3G13610|AT3G01190|AT3G49960|DIN2|AT4G26220|AT4G30170|AT4G31760|AT4G33870|AT4G36430|PRX52|PA2|AT5G06730|AT5G15180|AT5G20940|BGLU31|BGLU24|AT5G47000|BGLU41|AT5G58400|AT5G66390|UGT72E2|RHS19|PER4|AT1G05250|AT1G24735|AT1G55290|BGLU45|BGLU21|BGLU22|AT1G68850|CYP98A8|CYP98A9|CCR2,-5.848494523418002,0,1,0,0,-9.350785051332775,2.911349693251534,
1,-7.847508989493755,GO:0045168,M1,1,0,GO Biological Processes,19,cell-cell signaling involved in cell fate commitment,19_GO:0023052 signaling,-7.847508989493755,4.828579979051324,7.521540140215694,18982,41,1630,17,1.0429447852760736,0.2516287370112178,817593|817664|822009|822187|822415|827583|836049|838096|841156|843211|843334|843734|5007842|28716239|28717267|28717391|28721288,ETC2|CLE6|CLE19|CLE27|MYB0|CLE2|AT5G59305|ETC1|AT1G47485|CLE12|CLE26|CLE13|CLE45|CLE20|CLE43|CLE14|CLE21,-4.5213097206346635,0,2,1,1,-7.847508989493755,4.828579979051324,
1,-6.149459741374942,GO:0045165,M1,1,0,GO Biological Processes,19,cell fate commitment,19_GO:0032502 developmental process,-6.149459741374942,3.0052641994854543,5.941377792099067,18982,93,1630,24,1.4723926380368098,0.29833003888325327,817593|817664|819249|822009|822187|822415|827583|831327|834133|834499|836049|836053|838096|841156|843177|843211|843249|843334|843734|5007842|28716239|28717267|28717391|28721288,ETC2|CLE6|CPC|CLE19|CLE27|MYB0|CLE2|MYB66|GL3|GSO2|AT5G59305|WOX2|ETC1|AT1G47485|JAG|CLE12|CRC|CLE26|CLE13|CLE45|CLE20|CLE43|CLE14|CLE21,-2.9481992091241507,0,2,0,0,-7.847508989493755,4.828579979051324,
1,-4.369228562028747,GO:0007267,M1,1,0,GO Biological Processes,19,cell-cell signaling,19_GO:0023052 signaling,-4.369228562028747,2.731636749223661,4.78669206548957,18982,81,1630,19,1.165644171779141,0.26585397860538734,817593|817664|817850|817944|822009|822187|822415|827583|836049|838096|841156|843211|843334|843734|5007842|28716239|28717267|28717391|28721288,ETC2|CLE6|RALFL17|RALFL19|CLE19|CLE27|MYB0|CLE2|AT5G59305|ETC1|AT1G47485|CLE12|CLE26|CLE13|CLE45|CLE20|CLE43|CLE14|CLE21,-1.5201505478893176,0,2,0,0,-7.847508989493755,4.828579979051324,
1,-5.251595477486405,GO:0071669,M1,1,0,GO Biological Processes,19,plant-type cell wall organization or biogenesis,19_GO:0009987 cellular process,-5.251595477486405,1.9343204741603413,4.956962784001775,18982,295,1630,49,3.0061349693251533,0.4229437078953792,816604|817037|817092|817872|818349|818759|819988|819997|820039|820776|821605|822485|823739|823892|824184|824623|824624|826398|826590|827434|828364|828500|828593|828968|829469|829934|830298|830378|831127|833922|834950|834987|835731|836762|837488|838004|838206|838374|838982|839166|839747|840110|842108|842568|842574|842999|843495|843676|3768816,EXPB1|EXT6|CESA10|CSLD1|TBL15|AT2G41610|QRT2|MYB83|RGP3|EXPA12|COBL10|AT3G28550|EXLA3|AT3G47380|IRX15|AT3G54580|HRGP1|AT4G08400|GXM2|MAP70-5|MYB85|CSLG2|AT4G24910|NAC073|PGSIP3|MYB87|TBL3|AT5G04960|MYB46|EXPA21|TED7|SHV2|EXPA14|NAC105|GXM3|AT59|AT1G05250|MYB52|AT1G23720|AT1G26250|NAC010|CSLD6|RGXT3|ANAC026|AT1G62760|AT1G66810|AT1G71690|MYB54|AT3G12977,-2.219714066192797,0,3,1,1,-5.251595477486405,6.654513584574935,
1,-5.244883339387908,GO:0071554,M1,1,0,GO Biological Processes,19,cell wall organization or biogenesis,19_GO:0009987 cellular process,-5.244883339387908,1.6667206422332204,4.808239144825849,18982,538,1630,77,4.723926380368098,0.5254721263554196,814850|816029|816604|817037|817092|817185|817677|817679|817872|818349|818759|819130|819368|819728|819867|819988|819997|820039|820776|821605|822439|822485|823739|823892|824018|824184|824623|824624|825703|826398|826590|827434|827635|828067|828364|828500|828593|828968|829006|829469|829934|830298|830378|830379|830507|830634|830833|831127|833922|834950|834987|835653|835731|836762|837126|837253|837488|837724|838004|838206|838374|838928|838982|839166|839493|839747|840110|840236|842108|842568|842574|842999|843495|843524|843645|843676|3768816,FUT2|FUT5|EXPB1|EXT6|CESA10|AT2G26450|AT2G31210|AT2G31220|CSLD1|TBL15|AT2G41610|AT2G45220|AT2G47550|AT3G05620|AT3G06830|QRT2|MYB83|RGP3|EXPA12|COBL10|TBL22|AT3G28550|EXLA3|AT3G47380|XTH11|IRX15|AT3G54580|HRGP1|AT4G03930|AT4G08400|GXM2|MAP70-5|XTH29|AT4G02320|MYB85|CSLG2|AT4G24910|NAC073|XTH26|PGSIP3|MYB87|TBL3|AT5G04960|AT5G04970|CASP4|AT5G07430|BXL3|MYB46|EXPA21|TED7|SHV2|QRT1|EXPA14|NAC105|AT1G06170|RABA2b|GXM3|AT1G02360|AT59|AT1G05250|MYB52|AT1G23200|AT1G23720|AT1G26250|RABA3|NAC010|CSLD6|AT1G33430|RGXT3|ANAC026|AT1G62760|AT1G66810|AT1G71690|VND7|TBL31|MYB54|AT3G12977,-2.219714066192797,0,3,0,0,-5.251595477486405,6.654513584574935,
1,-4.672192321765214,GO:2000652,M1,1,0,GO Biological Processes,19,regulation of secondary cell wall biogenesis,19_GO:0071840 cellular component organization or biogenesis,-4.672192321765214,4.269979550102249,5.493595990993186,18982,30,1630,11,0.6748466257668712,0.20278618285292574,819997|828364|828968|831127|834950|836762|838374|839747|842568|842999|843676,MYB83|MYB85|NAC073|MYB46|TED7|NAC105|MYB52|NAC010|ANAC026|AT1G66810|MYB54,-1.771961785178404,0,3,0,0,-5.251595477486405,6.654513584574935,
1,-3.5028315486774586,GO:0009834,M1,1,0,GO Biological Processes,19,plant-type secondary cell wall biogenesis,19_GO:0071840 cellular component organization or biogenesis,-3.5028315486774586,2.4374090455129123,4.094710821960412,18982,86,1630,18,1.1042944785276074,0.25884356025513694,818349|819997|824184|826590|828364|828593|828968|829469|831127|834950|836762|837488|838374|839747|842568|842999|843495|843676,TBL15|MYB83|IRX15|GXM2|MYB85|AT4G24910|NAC073|PGSIP3|MYB46|TED7|NAC105|GXM3|MYB52|NAC010|ANAC026|AT1G66810|AT1G71690|MYB54,-0.7786922711463293,0,3,0,0,-5.251595477486405,6.654513584574935,
1,-3.4198631151788272,GO:1903338,M1,1,0,GO Biological Processes,19,regulation of cell wall organization or biogenesis,19_GO:0050789 regulation of biological process,-3.4198631151788272,3.037930114697253,4.241335793629224,18982,46,1630,12,0.7361963190184049,0.2117378383694435,819997|828364|828968|830378|831127|834950|836762|838374|839747|842568|842999|843676,MYB83|MYB85|NAC073|AT5G04960|MYB46|TED7|NAC105|MYB52|NAC010|ANAC026|AT1G66810|MYB54,-0.7692594786157161,0,3,0,0,-5.251595477486405,6.654513584574935,
