_MEMBER_WS_c1_which_mclass____3___1_,_LogP_WS_c1_which_mclass____3___1_,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.2,GO:0071555,cell wall organization,M1,1,0
1,-2.5,GO:0045490,pectin catabolic process,M1,1,0
1,-2,GO:0010227,floral organ abscission,M1,1,0
1,-2.4,GO:0009832,plant-type cell wall biogenesis,M1,1,0
1,-2.7,M00081,Pectin degradation,M1,1,0
1,-2.7,ath00073,"Cutin, suberine and wax biosynthesis",M1,1,0
1,-2.2,GO:0048468,cell development,M1,1,0
1,-5.3,GO:0071669,plant-type cell wall organization or biogenesis,M1,1,0
1,-2.7,GO:0007129,synapsis,M1,1,0
1,-3.4,GO:0019748,secondary metabolic process,M1,1,0
1,-2.9,GO:0006308,DNA catabolic process,M1,1,0
1,-9.4,ath00940,Phenylpropanoid biosynthesis,M1,1,0
1,-2.1,GO:0009963,positive regulation of flavonoid biosynthetic process,M1,1,0
1,-2.3,GO:0042138,meiotic DNA double-strand break formation,M1,1,0
1,-2.4,GO:0045143,homologous chromosome segregation,M1,1,0
1,-3.4,GO:1990641,response to iron ion starvation,M1,1,0
1,-2.6,GO:0009698,phenylpropanoid metabolic process,M1,1,0
1,-2.4,GO:0045229,external encapsulating structure organization,M1,1,0
1,-4.2,GO:0048437,floral organ development,M1,1,0
1,-9.4,ko00940,Phenylpropanoid biosynthesis,M1,1,0
1,-2,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-2.3,GO:0000904,cell morphogenesis involved in differentiation,M1,1,0
1,-2.8,GO:1901348,positive regulation of secondary cell wall biogenesis,M1,1,0
1,-2.1,GO:0070192,chromosome organization involved in meiotic cell cycle,M1,1,0
1,-2.6,GO:2000039,regulation of trichome morphogenesis,M1,1,0
1,-3.5,GO:0009834,plant-type secondary cell wall biogenesis,M1,1,0
1,-4.7,GO:2000652,regulation of secondary cell wall biogenesis,M1,1,0
1,-5.2,GO:0071554,cell wall organization or biogenesis,M1,1,0
1,-2.5,GO:1903340,positive regulation of cell wall organization or biogenesis,M1,1,0
1,-3.4,GO:1903338,regulation of cell wall organization or biogenesis,M1,1,0
1,-2,GO:0010089,xylem development,M1,1,0
1,-2.6,GO:0045492,xylan biosynthetic process,M1,1,0
1,-2.6,GO:0042546,cell wall biogenesis,M1,1,0
1,-2.2,GO:0009932,cell tip growth,M1,1,0
1,-2.4,GO:0048438,floral whorl development,M1,1,0
1,-2.4,GO:0045132,meiotic chromosome segregation,M1,1,0
1,-2.7,GO:0010345,suberin biosynthetic process,M1,1,0
1,-2.7,ath_M00081,Pectin degradation,M1,1,0
1,-2.5,GO:0009860,pollen tube growth,M1,1,0
1,-2.1,GO:0019915,lipid storage,M1,1,0
1,-6.1,GO:0045165,cell fate commitment,M1,1,0
1,-5.1,GO:0030154,cell differentiation,M1,1,0
1,-2.4,GO:0009908,flower development,M1,1,0
1,-2.1,GO:0045491,xylan metabolic process,M1,1,0
1,-4.4,GO:0007267,cell-cell signaling,M1,1,0
1,-7.8,GO:0045168,cell-cell signaling involved in cell fate commitment,M1,1,0
1,-2,GO:0010876,lipid localization,M1,1,0
1,-3.6,GO:0010274,hydrotropism,M1,1,0
1,-2.2,GO:0031333,negative regulation of protein complex assembly,M1,1,0
1,-2.1,GO:0090567,reproductive shoot system development,M1,1,0
1,-2.7,ko00073,"Cutin, suberine and wax biosynthesis",M1,1,0
