"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.9106485951751e-07,90,379,"RNA modification ","AT1G01860 AT1G03510 AT1G09190 AT1G13410 AT1G22830 AT1G25360 AT1G29710 AT1G33350 AT1G34160 AT1G45231 AT1G50000 AT1G66520 AT1G71460 AT1G72530 AT1G74600 AT1G77170 AT2G01510 AT2G13440 AT2G13600 AT2G20540 AT2G22410 AT2G29760 AT2G33680 AT2G35030 AT2G36730 AT2G37310 AT2G42920 AT3G02010 AT3G03580 AT3G04750 AT3G13880 AT3G14330 AT3G14730 AT3G18970 AT3G20930 AT3G23330 AT3G25970 AT3G26782 AT3G28640 AT3G28660 AT3G29230 AT3G46790 AT3G47530 AT3G49170 AT3G49710 AT3G51320 AT3G56330 AT3G63110 AT4G02750 AT4G04670 AT4G14050 AT4G14850 AT4G16470 AT4G18520 AT4G21065 AT4G22760 AT4G27340 AT4G30700 AT4G32430 AT4G32450 AT4G33990 AT4G37380 AT4G39952 AT5G03800 AT5G04780 AT5G08490 AT5G16860 AT5G19020 AT5G22800 AT5G37530 AT5G39350 AT5G42450 AT5G43790 AT5G44230 AT5G46460 AT5G48910 AT5G50990 AT5G61800 AT5G66500 AT1G09800 AT1G56345 AT2G45270 AT3G06950 AT3G63510 AT4G38020 AT4G40000 AT5G13830 AT5G50110 AT1G47580 AT5G17790"
5.71501491296217e-06,32,90,"Negative regulation of cell cycle ","AT1G02970 AT1G07270 AT1G08180 AT1G49910 AT1G51355 AT1G52530 AT1G69400 AT1G77320 AT2G28870 AT3G02680 AT3G05480 AT3G24495 AT3G27630 AT4G12620 AT4G14700 AT4G17760 AT4G21070 AT4G30870 AT5G01630 AT5G02220 AT5G05510 AT5G40460 AT5G40820 AT5G54260 AT5G66130 AT1G49620 AT2G23430 AT5G52950 AT1G04650 AT1G35530 AT3G27120 AT5G45610"
9.74565277431025e-06,85,386,"Cellular response to DNA damage stimulus ","AT1G03190 AT1G10520 AT1G11800 AT1G12370 AT1G20720 AT1G24290 AT1G27880 AT1G49980 AT1G52530 AT1G77600 AT2G31865 AT2G31870 AT3G02680 AT3G05480 AT3G05740 AT3G16980 AT3G22880 AT3G24320 AT3G24495 AT3G27120 AT3G48425 AT3G52115 AT3G59550 AT4G02390 AT4G12740 AT4G17760 AT4G19130 AT4G21070 AT4G25120 AT4G30870 AT4G35740 AT5G01630 AT5G07810 AT5G20850 AT5G21140 AT5G40820 AT5G41360 AT5G44010 AT5G44740 AT5G50340 AT5G54260 AT5G57450 AT5G63540 AT5G66130 AT1G35530 AT2G21800 AT3G19210 AT5G22750 AT1G03750 AT1G16590 AT1G18090 AT1G19100 AT1G50840 AT1G56500 AT1G66730 AT2G18760 AT2G30350 AT3G07930 AT3G09660 AT3G15620 AT3G47830 AT3G48900 AT4G18470 AT4G21065 AT4G24970 AT4G29560 AT5G01840 AT5G07400 AT5G49110 AT5G50780 AT5G50930 AT5G60870 AT5G61460 AT5G64520 AT5G64630 AT4G00380 AT3G13782 AT3G27630 AT5G08110 AT1G08840 AT1G47870 AT5G21900 AT5G45610 AT5G54770 AT1G77320"
2.77216911230563e-05,78,354,"DNA repair ","AT1G03190 AT1G10520 AT1G11800 AT1G12370 AT1G20720 AT1G24290 AT1G27880 AT1G49980 AT1G52530 AT1G77600 AT2G31865 AT2G31870 AT3G02680 AT3G05740 AT3G16980 AT3G22880 AT3G24320 AT3G24495 AT3G27120 AT3G48425 AT3G52115 AT3G59550 AT4G02390 AT4G12740 AT4G19130 AT4G21070 AT4G25120 AT4G30870 AT4G35740 AT5G01630 AT5G07810 AT5G20850 AT5G21140 AT5G41360 AT5G44740 AT5G50340 AT5G54260 AT5G57450 AT5G63540 AT1G35530 AT2G21800 AT3G19210 AT5G22750 AT1G03750 AT1G16590 AT1G18090 AT1G19100 AT1G50840 AT1G56500 AT1G66730 AT2G18760 AT2G30350 AT3G05480 AT3G07930 AT3G09660 AT3G15620 AT3G47830 AT3G48900 AT4G18470 AT4G21065 AT4G24970 AT4G29560 AT5G01840 AT5G07400 AT5G40820 AT5G44010 AT5G49110 AT5G50780 AT5G50930 AT5G61460 AT5G64520 AT5G64630 AT5G66130 AT4G00380 AT3G13782 AT5G08110 AT1G08840 AT5G21900"
2.81873049711955e-05,23,58,"Negative regulation of cell cycle process ","AT1G07270 AT1G08180 AT1G49910 AT1G51355 AT1G52530 AT1G69400 AT1G77320 AT2G28870 AT3G02680 AT3G24495 AT3G27630 AT4G12620 AT4G14700 AT5G01630 AT5G02220 AT5G05510 AT5G40460 AT5G54260 AT5G66130 AT5G52950 AT1G04650 AT1G35530 AT3G27120"
2.81873049711955e-05,22,54,"Negative regulation of mitotic cell cycle ","AT1G02970 AT1G07270 AT1G08180 AT1G49910 AT1G51355 AT1G52530 AT1G69400 AT1G77320 AT2G28870 AT3G02680 AT3G05480 AT3G24495 AT3G27630 AT4G12620 AT4G14700 AT4G30870 AT5G02220 AT5G05510 AT5G40460 AT5G54260 AT5G66130 AT5G52950"
3.9218640120112e-05,28,82,"Recombinational repair ","AT1G27880 AT1G52530 AT3G02680 AT3G05740 AT3G22880 AT3G27120 AT3G52115 AT4G19130 AT4G21070 AT4G25120 AT4G30870 AT4G35740 AT5G01630 AT5G20850 AT5G21140 AT5G50340 AT5G54260 AT5G57450 AT5G63540 AT1G35530 AT3G19210 AT5G22750 AT5G61460 AT5G64520 AT4G00380 AT3G09660 AT3G13782 AT5G64630"
0.00010929582434466,26,77,"Double-strand break repair via homologous recombination ","AT1G27880 AT1G52530 AT3G02680 AT3G05740 AT3G22880 AT3G27120 AT3G52115 AT4G19130 AT4G21070 AT4G30870 AT4G35740 AT5G01630 AT5G20850 AT5G21140 AT5G54260 AT5G57450 AT5G63540 AT1G35530 AT3G19210 AT5G22750 AT5G61460 AT5G64520 AT4G00380 AT3G09660 AT3G13782 AT5G64630"
0.00010929582434466,12,20,"Mitotic DNA integrity checkpoint ","AT1G07270 AT1G52530 AT1G77320 AT3G02680 AT3G05480 AT3G24495 AT4G12620 AT4G14700 AT4G30870 AT5G54260 AT5G66130 AT5G52950"
0.000139653576734552,47,189,"DNA recombination ","AT1G03190 AT1G20720 AT1G22275 AT1G24290 AT1G27880 AT1G52530 AT3G02680 AT3G02930 AT3G05740 AT3G22880 AT3G24495 AT3G27120 AT3G52115 AT4G19130 AT4G21070 AT4G25120 AT4G30870 AT4G32190 AT4G35740 AT5G01630 AT5G20850 AT5G21140 AT5G41360 AT5G50340 AT5G50930 AT5G54260 AT5G57450 AT5G63540 AT1G35530 AT2G21800 AT3G19210 AT5G22750 AT1G13330 AT1G30010 AT1G66730 AT2G30350 AT4G18470 AT5G04050 AT5G57880 AT5G61460 AT5G64520 AT5G64630 AT4G00380 AT1G04650 AT3G09660 AT3G13782 AT4G32700"
