_MEMBER_WS_c1_which_mclass____4___1_,_LogP_WS_c1_which_mclass____4___1_,GO,Description,_PATTERN_,_RANK_,CHILD_GO_WS_c1_which_mclass____4___1_
1,-12.024366363087143,GO:0051179,localization,M1,1,GO:0046907 intracellular transport
1,-5.624671228270232,GO:0008152,metabolic process,M1,1,GO:0006397 mRNA processing
1,-4.730042103559538,GO:0002376,immune system process,M1,1,GO:0002376 immune system process
1,-4.574149609364033,GO:0050896,response to stimulus,M1,1,GO:0042493 response to drug
1,-4.434448126332572,GO:0071840,cellular component organization or biogenesis,M1,1,GO:0016050 vesicle organization
1,-4.103194457318683,GO:0048519,negative regulation of biological process,M1,1,GO:0010629 negative regulation of gene expression
1,-3.717900597518159,GO:0032501,multicellular organismal process,M1,1,GO:2000037 regulation of stomatal complex patterning
1,-3.5783077742940863,GO:0050789,regulation of biological process,M1,1,GO:0080134 regulation of response to stress
1,-3.438656083995893,GO:0022414,reproductive process,M1,1,GO:0010228 vegetative to reproductive phase transition of meristem
1,-3.0503368912783513,GO:0051704,multi-organism process,M1,1,GO:0009294 DNA mediated transformation
1,-2.730303697221089,GO:0032502,developmental process,M1,1,GO:0050793 regulation of developmental process
1,-2.642622586696263,GO:0048518,positive regulation of biological process,M1,1,GO:1902751 positive regulation of cell cycle G2/M phase transition
1,-2.4235372542631834,GO:0023052,signaling,M1,1,GO:0035556 intracellular signal transduction
1,-2.3725346575442483,GO:0040007,growth,M1,1,GO:0010449 root meristem growth
1,-2.345699356041886,GO:0009987,cellular process,M1,1,GO:0008219 cell death
1,-2.2753400508819444,GO:0065007,biological regulation,M1,1,GO:0042446 hormone biosynthetic process
